# artifact_type: raw_data
# circuit_file: 02_pnp_common_emitter.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\ac_analysis\02_pnp_common_emitter.cir
# analysis_type: ac
# executor: spice
# timestamp: 2026-04-22T10:23:57.803956

Frequency (Hz),V(out)_mag,V(out)_phase,V(out)_real,V(out)_imag,V(in)_mag,V(in)_phase,V(in)_real,V(in)_imag,I(VIN)_mag,I(VIN)_phase,I(VIN)_real,I(VIN)_imag,V(base)_mag,V(base)_phase,V(base)_real,V(base)_imag,V(col)_mag,V(col)_phase,V(col)_real,V(col)_imag,V(emit)_mag,V(emit)_phase,V(emit)_real,V(emit)_imag,V(vss)_mag,V(vss)_phase,V(vss)_real,V(vss)_imag,I(VSS)_mag,I(VSS)_phase,I(VSS)_real,I(VSS)_imag
9.999999999999984,6.904191716425733,-116.81944729132861,-3.1150365017924257,-6.161526665499591,1.0,0.0,1.0,0.0,0.00010097161973683637,-167.1514734540894,-9.844342815676111e-05,-2.2453495162778046e-05,0.9769100371151355,9.228998043190572,0.9642641525515391,0.15667758206060428,6.908149052625638,-118.75889908199578,-3.3236827626023797,-6.0560429512076865,0.9523148085239252,7.299121094090844,0.944597622260465,0.1209910184841693,0.0,0.0,0.0,0.0,0.0014610204218477268,-118.31486106485669,-0.0006929861900499674,-0.0012862156947635727
11.220184543019615,7.487348670486818,-115.16013049137764,-3.1832429990406115,-6.776972341872117,1.0,0.0,1.0,0.0,0.00010134631426682794,-167.69910811814972,-9.901963175428038e-05,-2.1591385845224427e-05,0.9794960569346708,8.244438796988545,0.9693732685741812,0.14045636946887227,7.4907578019555725,-116.88880449026725,-3.3877734551812515,-6.680901396063826,0.9546955571214077,6.079253441411566,0.9493266898634417,0.10110609625673256,0.0,0.0,0.0,0.0,0.001585532602628512,-116.46310727236606,-0.0007065473735607836,-0.001419402847296109
12.58925411794165,8.15966252016234,-113.54730740179019,-3.259835128948051,-7.480211719932683,1.0,0.0,1.0,0.0,0.00010169576759277213,-168.09194774045318,-9.950727424947111e-05,-2.0984077719158082e-05,0.9815662513172568,7.363327169792762,0.9734716635001521,0.12579835486705998,8.162613785219667,-115.08808586791633,-3.4610389221513604,-7.392528213406527,0.9565365852143963,4.9342130909551685,0.9529917691609149,0.0822734876200575,0.0,0.0,0.0,0.0,0.0017290237590895426,-114.68444088085757,-0.0007220755002748491,-0.0015710283674711157
14.125375446227517,8.932044744681628,-112.01911089731325,-3.3487649955545686,-8.280531162041665,1.0,0.0,1.0,0.0,0.0001020374534599636,-168.3345046489515,-9.992984491653487e-05,-2.0631723232719277e-05,0.9832217537708535,6.575674433909408,0.9767536038281507,0.11259402513878403,8.934611018879462,-113.39239922837619,-3.547274118055018,-8.200251239447441,0.9579271155958665,3.8505545792626377,0.9557646942980096,0.06432890429075508,0.0,0.0,0.0,0.0,0.0018937999001092506,-113.01342948741579,-0.000740375150468551,-0.001743078511778078
15.848931924611104,9.816245085502423,-110.60557622848135,-3.4546581018210287,-9.188253641371293,1.0,0.0,1.0,0.0,0.00010238865641809509,-168.43017965461704,-0.00010030822421099798,-2.053526524637263e-05,0.9845448999374554,5.872247691553468,0.9793784906944535,0.10072949894598147,9.818485407220228,-111.82956894488747,-3.650973899530966,-9.11444157788837,0.9589356257628023,2.8151812902411852,0.957778342813131,0.04709756251898391,0.0,0.0,0.0,0.0,0.002082348236919961,-111.47685080824239,-0.0007624003324838604,-0.0019377615727514488
17.782794100389193,10.82501978438942,-109.32923270124643,-3.583036986557457,-10.214837212867547,1.0,0.0,1.0,0.0,0.00010276720666792994,-168.38132501548301,-0.00010066147148116268,-2.069702697432888e-05,0.9856024352810401,5.244582369941689,0.9814762847071449,0.09009141462634526,10.826982258271416,-110.42015148747664,-3.777552267000836,-10.146607496646396,0.9596123699375153,1.8153143165074845,0.9591307683468759,0.030398515546425017,0.0,0.0,0.0,0.0,0.0022973729107978696,-110.09433219608673,-0.0007893010501186899,-0.0021575277851164304
19.952623149688755,11.972307756791478,-108.20615173969786,-3.740590882020003,-11.372956206575237,1.0,0.0,1.0,0.0,0.00010319225101148782,-168.18938512792036,-0.00010100761802820815,-2.1121121397442693e-05,0.9864483082978539,4.684967902969854,0.9831524364048372,0.08057016653160284,11.974031851640499,-109.17845829560531,-3.9336079172605958,-11.309472469455237,0.9599913496761158,0.8384316285438319,0.9598885670723316,0.014047428832220215,0.0,0.0,0.0,0.0,0.0025418322153458284,-108.87941591924518,-0.00082247973067152,-0.0024050858827917945
22.387211385683347,13.273405047920585,-107.24721752879856,-3.9355008275713614,-12.676557687414544,1.0,0.0,1.0,0.0,0.00010368506698160484,-167.85512374382196,-0.00010136446615120208,-2.181371396304827e-05,0.9871260529766939,4.186416057786803,0.9844922159146984,0.07206192662366058,13.274923398502754,-108.11380376725825,-4.127245634564333,-12.61702955168472,0.9600917043113871,-0.12781236571164417,0.9600893154936043,-0.002141719534972784,0.0,0.0,0.0,0.0,0.0028189753328335928,-107.84082038899709,-0.0008636595423516132,-0.002683414638483823
25.118864315095745,14.74512793030577,-106.4594316783257,-4.177831177796189,-14.140881313797859,1.0,0.0,1.0,0.0,0.00010426992512182233,-167.37895291913867,-0.00010175040537288411,-2.2783158063889846e-05,0.9876707914319254,3.742618754085548,0.9855644260838143,0.0644697935924056,14.746467740772083,-107.23178958888582,-4.3684644712186484,-14.084559950290677,0.9599185138368895,-1.0956789453815854,0.9597429995374155,-0.018355599847117304,0.0,0.0,0.0,0.0,0.003132376604496783,-106.98371660758094,-0.0009149669312899692,-0.0029957667978406815
28.183829312644473,16.405954109627476,-105.84712402386133,-4.479999312835367,-15.782424921544767,1.0,0.0,1.0,0.0,0.00010497499683010079,-166.76138384997373,-0.00010218526299322228,-2.4040008038386058e-05,0.9881109003019889,3.347900198701739,0.9864245341935792,0.05770432944404841,16.407138242319363,-106.53549731169258,-4.66962449269841,-15.728597915890962,0.9594630144516832,-2.0774423397701547,0.9588324008187749,-0.034780788386912016,0.0,0.0,0.0,0.0,0.0034859651494925045,-106.31090030288644,-0.000979030882956139,-0.003345661601790358
31.622776601683718,18.27612913197297,-105.4129984739266,-4.857335136515957,-17.61883059173107,1.0,0.0,1.0,0.0,0.00010583329108694144,-166.00362180940766,-0.00010269120828850814,-2.5596899080543214e-05,0.988469388256869,2.9971666231299188,0.987117282369582,0.051683676032183955,18.277176951096124,-106.02651788370419,-5.046003617767926,-17.566816581018667,0.958702227364602,-3.0854862168112005,0.9573124323824417,-0.05160298014516094,0.0,0.0,0.0,0.0,0.0038840471227025706,-105.82379556352404,-0.0010591013603913702,-0.003736860495093611
35.481338923357455,20.37772085069471,-105.15898600084088,-5.328739857952575,-19.668656247825005,1.0,0.0,1.0,0.0,0.00010688358134196618,-165.10832426548117,-0.0001032937281214734,-2.7468266986685475e-05,0.9887650305350748,2.6858557667138157,0.9876788458334614,0.04633339079011054,20.37864887696734,-105.70579004859457,-5.516453987485867,-19.617799709821526,0.9575979999722531,-4.132393387241207,0.955108437572311,-0.06900581155988383,0.0,0.0,0.0,0.0,0.004331316983174872,-105.52326683286553,-0.0011591889254493795,-0.004173318564865926
39.81071705534962,22.734598466705087,-105.08690427963244,-5.91744836460633,-21.950985679338576,1.0,0.0,1.0,0.0,0.00010817125254588953,-164.08052972849583,-0.0001040226856625101,-2.966986256970573e-05,0.989013302202904,2.409887402464235,0.9881386077968386,0.04158610002895744,22.735420887314085,-105.57424694315658,-6.10416211401616,-21.900652223372877,0.9560954602655517,-5.231021887002998,0.9521134958028984,-0.08716891791448102,0.0,0.0,0.0,0.0,0.0048328527826234004,-105.41024150018285,-0.0012842264464845235,-0.004659101678720962
44.66835921509619,25.372304040253244,-105.19893719418322,-6.651889377562908,-24.484815294784582,1.0,0.0,1.0,0.0,0.00010974895749862198,-162.92874120245747,-0.0001049134616261407,-3.221799561820438e-05,0.9892271461908164,2.16561558035808,0.9885206142574914,0.03738103728922969,25.373033108559333,-105.63328395455592,-6.837506957421006,-24.434387811755535,0.9541208958859422,-6.39455901675004,0.9481848328390035,-0.1062647953946366,0.0,0.0,0.0,0.0,0.005394088642870872,-105.48615749173914,-0.001440251646488167,-0.005198256196258189
50.11872336272709,28.317773535699224,-105.49795105684557,-7.566619972854187,-27.288139551928992,1.0,0.0,1.0,0.0,0.00011167692333474097,-161.66610921106562,-0.00010600815615766772,-3.5128422019287293e-05,0.9894176058371926,1.9497828067338367,0.9888447637284679,0.03366351121604533,28.31841988710793,-105.8850645396652,-7.750992496863967,-27.237015626094358,0.9515790955627845,-7.636542551113161,0.9431395283274766,-0.12645396481847396,0.0,0.0,0.0,0.0,0.006020755282272292,-105.75325287660591,-0.0016346055049975782,-0.005794614656044121
56.234132519034745,31.598851729105835,-105.98766145169887,-8.703282581597188,-30.37664074421136,1.0,0.0,1.0,0.0,0.00011402269892864105,-160.31160510217032,-0.00010735679548857863,-3.84147671266535e-05,0.98959434493347,1.759476048393605,0.9891277773799365,0.03038433049665948,31.599424633186768,-106.3326777861719,-8.886202929473606,-30.32423180634038,0.9483502416181889,-8.970835188198132,0.9367498708817333,-0.14787785561176245,0.0,0.0,0.0,0.0,0.006718776741992374,-106.21471099547212,-0.001876135477629911,-0.0064515173857253175
63.09573444801914,35.24353182447956,-106.67265794848196,-10.111489312912068,-33.761876715283,1.0,0.0,1.0,0.0,0.00011686009325954214,-158.8910118071057,-0.00010901843619037335,-4.2086363198004864e-05,0.9897660711053571,1.59208422583621,0.9893839848314285,0.027499201268733335,35.24403938852236,-106.98015484466174,-10.29268541605645,-33.70760951692977,0.9442865289440369,-10.41153450171222,0.928738954800232,-0.17064876964616546,0.0,0.0,0.0,0.0,0.007494108595481867,-106.8746677009075,-0.002175383302763238,-0.00717142741209406
70.79457843841358,39.278838715041694,-107.55828568722166,-11.849476593050039,-37.44885946558343,1.0,0.0,1.0,0.0,0.0001202670394631842,-157.4375017955339,-0.00011106198692706049,-4.61453772446661e-05,0.9899408706370757,1.4452567423457778,0.9896259501061682,0.024968104336444488,39.27928805051621,-107.83234312557974,-12.028603517454952,-37.39218056192091,0.9392088210391031,-11.972796505028569,0.9187774648720524,-0.19483628912742812,0.0,0.0,0.0,0.0,0.008352500392660027,-107.73807898789133,-0.0025447240213436724,-0.007955415920276097
79.43282347242791,43.72926891222898,-108.65037477897745,-13.984290888365106,-41.43294061429413,1.0,0.0,1.0,0.0,0.00012432214832043385,-155.99154529853192,-0.00011356647095173177,-5.058313195698168e-05,0.9901264544442853,1.3168626091981517,0.9898649511170685,0.02275465535698122,43.72966627282209,-108.8946291111343,-14.160922337172053,-41.373324629439374,0.9329038490463181,-13.668547132786822,0.906483067331314,-0.22044963190499495,0.0,0.0,0.0,0.0,0.009299163833951015,-108.81043928151419,-0.0029984053618818817,-0.00880250040025563
