# artifact_type: raw_data
# circuit_file: 02_complementary_push_pull.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\bjt\02_complementary_push_pull.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:24:10.334747

Time (s),V(out),V(in),I(VIN),V(vdd),V(vss),I(VDD),I(VSS)
0.0007628000000000013,-2.2512876513206583,-2.990303012572906,0.0001079786597754373,12.0,-12.0,2.232553697467665e-09,0.022404895611856546
0.0007728000000000013,-2.2305501997547657,-2.969268919511219,0.00010701778000293816,12.0,-12.0,3.8767780097259674e-09,0.022198480331752535
0.0007828000000000014,-2.198268118208833,-2.936516478554155,0.00010524246834112128,12.0,-12.0,5.671850544786139e-09,0.021877433032827298
0.0007928000000000014,-2.154568179709115,-2.8921749486230057,0.00010311148165220718,12.0,-12.0,7.285763103936915e-09,0.021442563020571015
0.0008028000000000014,-2.0996377099059975,-2.8364193254786896,0.00010019027660354562,12.0,-12.0,9.0385015028005e-09,0.020896177774801572
0.0008128000000000014,-2.033698134517031,-2.769469651093438,9.694446118707623e-05,12.0,-12.0,1.0600160749163479e-08,0.02024002627462096
0.0008228000000000015,-1.9570305892180295,-2.6915901452456517,9.294631095477235e-05,12.0,-12.0,1.2288680295569065e-08,0.019477347283242352
0.0008328000000000015,-1.8699495835994122,-2.603088162765147,8.866768749685172e-05,12.0,-12.0,1.3776400464848848e-08,0.01861081436271661
0.0008428000000000015,-1.7728285716097736,-2.504312980544071,8.368699149169379e-05,12.0,-12.0,1.5379242768176482e-08,0.017644583335837183
0.0008528000000000015,-1.666074178729408,-2.395654419100557,7.848160190905562e-05,12.0,-12.0,1.6771792843428557e-08,0.016582243403973962
0.0008628000000000016,-1.550152254447281,-2.277541304135251,7.263528081584425e-05,12.0,-12.0,1.826803952553746e-08,0.01542886898590723
0.0008728000000000016,-1.4255637612606356,-2.1504397741521686,6.663021498633237e-05,12.0,-12.0,1.9544785345715354e-08,0.014188987842956635
0.0008828000000000016,-1.2928729175187232,-2.0148514408229907,6.0054937809292386e-05,12.0,-12.0,2.0914129095217504e-08,0.012868653313248046
0.0008928000000000016,-1.1526880339583805,-1.8713114093549486,5.339614604356335e-05,12.0,-12.0,2.205524651799351e-08,0.011473462128151368
0.0009028000000000017,-1.0056976006209897,-1.72038616667504,4.624738752458113e-05,12.0,-12.0,2.3278289518202655e-08,0.010010705330103065
0.0009128000000000017,-0.8526688581793513,-1.562671345764946,3.910122418075701e-05,12.0,-12.0,2.4264878106805554e-08,0.008487563082326233
0.0009228000000000017,-0.6945199766154793,-1.3987893749697449,3.1559877893772015e-05,12.0,-12.0,2.5323231511720223e-08,0.006913614554406422
0.0009328000000000017,-0.5324097464529135,-1.2293870215576188,2.413085587332081e-05,12.0,-12.0,2.6137470854337153e-08,0.005299940460389507
0.0009428000000000018,-0.3680641901678852,-1.055132839224907,1.6448721255529763e-05,12.0,-12.0,2.7014067427444388e-08,0.0036641661554170923
0.0009528000000000018,-0.20532060248808529,-0.8767145296201188,9.133719094334136e-06,12.0,-12.0,2.7639700306281156e-08,0.002044044654937238
0.0009628000000000018,-0.056997602681197405,-0.6948362282996865,2.285834802662201e-06,12.0,-12.0,2.831883705312066e-08,0.0005676618618792872
0.0009728000000000019,-0.00036924509218281204,-0.5102157258266324,-4.2490565641678524e-07,12.0,-12.0,2.874054416679428e-08,4.088604555363418e-06
0.0009828000000000018,3.593704931911986e-05,-0.32358163497913894,-4.250451396681232e-07,12.0,-12.0,2.9209971330601547e-08,3.645300239440985e-08
0.0009928000000000018,3.381017292033421e-05,-0.13567051524876458,-4.0093038469225795e-07,12.0,-12.0,2.941445131909859e-08,3.3402358212697436e-08
0.0010028000000000018,3.429462736684901e-05,0.052776034023334036,-4.0590155706227496e-07,12.0,-12.0,2.9661748612852534e-08,3.328150910419936e-08
0.0010128000000000018,3.365916822844902e-05,0.24101430040021904,-3.991234558946982e-07,12.0,-12.0,2.951482258595206e-08,3.300468165434722e-08
0.0010228000000000019,5.3410172915688744e-05,0.42830139344238183,-4.23492398780867e-07,12.0,-12.0,-1.432548515367671e-07,3.263309622525412e-08
0.001032800000000002,0.013489533895219211,0.6138981765569242,-7.904240078397684e-07,12.0,-12.0,-0.0001341370379179807,3.2110349934555416e-08
0.001042800000000002,0.13636073011232563,0.7970721840319925,-4.153418146704557e-06,12.0,-12.0,-0.0013594853948575292,3.1499084229835717e-08
0.001052800000000002,0.2960421950892992,0.9771005117443292,-9.16867619995404e-06,12.0,-12.0,-0.0029512840290522036,3.0741361456421146e-08
0.001062800000000002,0.4603715883688,1.1532726701315756,-1.397702303996412e-05,12.0,-12.0,-0.004589768781656289,2.990786640566512e-08
0.001072800000000002,0.6235368748973128,1.3248933881699758,-1.920947731558209e-05,12.0,-12.0,-0.006216188216086493,2.893111172852514e-08
0.001082800000000002,0.78375765719165,1.4912853572914846,-2.3991568818174103e-05,12.0,-12.0,-0.007813612908705636,2.789212771858729e-08
0.001092800000000002,0.9392757336219483,1.6517919044112346,-2.9105870974585613e-05,12.0,-12.0,-0.009363678193096803,2.6714218392953626e-08
0.001102800000000002,1.0890851691352912,1.8057795835162154,-3.365240387070978e-05,12.0,-12.0,-0.010857224789930342,2.548860322804103e-08
0.0011128000000000021,1.2323993039332914,1.9526406755872734,-3.8461628226293954e-05,12.0,-12.0,-0.012285555554342409,2.4129292341967812e-08
0.0011228000000000021,1.368514419914777,2.0917955869884617,-4.264860780180124e-05,12.0,-12.0,-0.013642518342876997,2.2737424387742067e-08
0.0011328000000000022,1.4967798729401727,2.2226951368583046,-4.7043585155448486e-05,12.0,-12.0,-0.014920776376129652,2.1217658741079504e-08
0.0011428000000000022,1.6166222370907428,2.344822724475783,-5.076466370018684e-05,12.0,-12.0,-0.01611547740267838,1.9681110074998287e-08
0.0011528000000000022,1.7275040127232002,2.4576963680473614,-5.464500790712534e-05,12.0,-12.0,-0.01722041315684919,1.802307281195681e-08
0.0011628000000000022,1.828953302643105,2.5608706068689218,-5.780614475656143e-05,12.0,-12.0,-0.018231743260656685,1.6364424482162576e-08
0.0011728000000000023,1.9205280151749942,2.6539382593556646,-6.10841237600468e-05,12.0,-12.0,-0.019144210633783132,1.459113718738081e-08
0.0011828000000000023,2.0018493730088918,2.7365320300017886,-6.360420227399799e-05,12.0,-12.0,-0.0199549023763268,1.2833766049880069e-08
0.0011928000000000023,2.0725672963173407,2.80832595892806,-6.620577470384248e-05,12.0,-12.0,-0.02065947817227709,1.0969003483296547e-08
0.0012028000000000023,2.132395283093913,2.8690367082965307,-6.801832298453103e-05,12.0,-12.0,-0.02125594365978145,9.13698272597685e-09
0.0012128000000000024,2.18107593484513,2.918424680515548,-6.988509702318679e-05,12.0,-12.0,-0.021740881471288276,7.204931762316846e-09
0.0012228000000000024,2.2184163278403064,2.9562949638219815,-7.09402736453757e-05,12.0,-12.0,-0.02211322834241969,5.322704055288341e-09
