# artifact_type: raw_data
# circuit_file: 07_vcvs_subckt_buffer.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\07_vcvs_subckt_buffer.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:27:31.928131

Time (s),V(buf_out),V(in),I(VIN),V(amp),I(E.XBUF.EBUF),I(EAMP)
0.001052800000000002,0.16285008529072154,0.016285008529072154,0.0,0.16285008529072154,-1.6285008529072154e-05,0.0
0.001062800000000002,0.19221211168859595,0.019221211168859595,0.0,0.19221211168859595,-1.9221211168859594e-05,0.0
0.001072800000000002,0.22081556469499597,0.022081556469499598,0.0,0.22081556469499597,-2.2081556469499597e-05,0.0
0.001082800000000002,0.24854755954858077,0.024854755954858077,0.0,0.24854755954858077,-2.4854755954858078e-05,0.0
0.001092800000000002,0.27529865073520576,0.02752986507352058,0.0,0.27529865073520576,-2.752986507352058e-05,0.0
0.001102800000000002,0.30096326391936923,0.030096326391936924,0.0,0.30096326391936923,-3.0096326391936923e-05,0.0
0.0011128000000000021,0.3254401125978789,0.03254401125978789,0.0,0.3254401125978789,-3.2544011259787894e-05,0.0
0.0011228000000000021,0.34863259783141026,0.034863259783141025,0.0,0.34863259783141026,-3.4863259783141025e-05,0.0
0.0011328000000000022,0.37044918947638417,0.037044918947638415,0.0,0.37044918947638417,-3.7044918947638416e-05,0.0
0.0011428000000000022,0.3908037874126305,0.03908037874126305,0.0,0.3908037874126305,-3.9080378741263055e-05,0.0
0.0011528000000000022,0.40961606134122697,0.0409616061341227,0.0,0.40961606134122697,-4.09616061341227e-05,0.0
0.0011628000000000022,0.42681176781148694,0.042681176781148696,0.0,0.42681176781148694,-4.268117678114869e-05,0.0
0.0011728000000000023,0.4423230432259442,0.044232304322594417,0.0,0.4423230432259442,-4.423230432259442e-05,0.0
0.0011828000000000023,0.4560886716669648,0.04560886716669648,0.0,0.4560886716669648,-4.560886716669648e-05,0.0
0.0011928000000000023,0.46805432648801,0.046805432648801,0.0,0.46805432648801,-4.6805432648801e-05,0.0
0.0012028000000000023,0.4781727847160885,0.04781727847160885,0.0,0.4781727847160885,-4.781727847160885e-05,0.0
0.0012128000000000024,0.48640411341925793,0.048640411341925795,0.0,0.48640411341925793,-4.8640411341925794e-05,0.0
0.0012228000000000024,0.4927158273036636,0.04927158273036636,0.0,0.4927158273036636,-4.9271582730366365e-05,0.0
0.0012328000000000024,0.49708301691815115,0.049708301691815115,0.0,0.49708301691815115,-4.970830169181512e-05,0.0
0.0012428000000000025,0.4994884469604916,0.04994884469604916,0.0,0.4994884469604916,-4.994884469604916e-05,0.0
0.0012528000000000025,0.4999226242972442,0.04999226242972442,0.0,0.4999226242972442,-4.999226242972442e-05,0.0
0.0012628000000000025,0.4983838354288175,0.049838383542881746,0.0,0.4983838354288175,-4.983838354288175e-05,0.0
0.0012728000000000025,0.4948781532518693,0.04948781532518693,0.0,0.4948781532518693,-4.948781532518693e-05,0.0
0.0012828000000000026,0.4894194130923584,0.04894194130923584,0.0,0.4894194130923584,-4.8941941309235844e-05,0.0
0.0012928000000000026,0.4820291581038333,0.04820291581038333,0.0,0.4820291581038333,-4.820291581038333e-05,0.0
0.0013028000000000026,0.4727365542464471,0.04727365542464471,0.0,0.4727365542464471,-4.727365542464471e-05,0.0
0.0013128000000000026,0.4615782751822383,0.04615782751822383,0.0,0.4615782751822383,-4.615782751822383e-05,0.0
0.0013228000000000027,0.44859835754093996,0.044859835754093996,0.0,0.44859835754093996,-4.4859835754094e-05,0.0
0.0013328000000000027,0.4338480271275228,0.04338480271275228,0.0,0.4338480271275228,-4.338480271275228e-05,0.0
0.0013428000000000027,0.4173854967573432,0.04173854967573432,0.0,0.4173854967573432,-4.1738549675734324e-05,0.0
0.0013528000000000027,0.39927573651675763,0.03992757365167576,0.0,0.39927573651675763,-3.992757365167576e-05,0.0
0.0013628000000000028,0.3795902173558732,0.03795902173558732,0.0,0.3795902173558732,-3.795902173558732e-05,0.0
0.0013728000000000028,0.35840662902535897,0.035840662902535896,0.0,0.35840662902535897,-3.58406629025359e-05,0.0
0.0013828000000000028,0.3358085734704952,0.03358085734704952,0.0,0.3358085734704952,-3.358085734704952e-05,0.0
0.0013928000000000028,0.31188523489248804,0.031188523489248804,0.0,0.31188523489248804,-3.11885234892488e-05,0.0
0.0014028000000000029,0.2867310277791705,0.02867310277791705,0.0,0.2867310277791705,-2.8673102777917048e-05,0.0
0.001412800000000003,0.26044522429415473,0.026044522429415476,0.0,0.26044522429415473,-2.6044522429415473e-05,0.0
0.001422800000000003,0.233131562494954,0.0233131562494954,0.0,0.233131562494954,-2.3313156249495403e-05,0.0
0.001432800000000003,0.2048978369262662,0.02048978369262662,0.0,0.2048978369262662,-2.0489783692626622e-05,0.0
0.001442800000000003,0.1758554732041479,0.017585547320414792,0.0,0.1758554732041479,-1.758554732041479e-05,0.0
0.001452800000000003,0.14611908827001643,0.014611908827001644,0.0,0.14611908827001643,-1.4611908827001645e-05,0.0
0.001462800000000003,0.11580603804994392,0.011580603804994392,0.0,0.11580603804994392,-1.1580603804994392e-05,0.0
0.001472800000000003,0.08503595430443532,0.008503595430443532,0.0,0.08503595430443532,-8.503595430443532e-06,0.0
0.001482800000000003,0.05393027249651925,0.005393027249651925,0.0,0.05393027249651925,-5.393027249651926e-06,0.0
0.0014928000000000031,0.022611752541457277,0.0022611752541457277,0.0,0.022611752541457277,-2.2611752541457276e-06,0.0
0.0015028000000000031,-0.008796005670559609,-0.0008796005670559609,0.0,-0.008796005670559609,8.796005670559609e-07,0.0
0.0015128000000000032,-0.04016905006670755,-0.0040169050066707545,0.0,-0.04016905006670755,4.0169050066707546e-06,0.0
0.0015228000000000032,-0.07138356557373464,-0.0071383565573734644,0.0,-0.07138356557373464,7.1383565573734644e-06,0.0
0.0015328000000000032,-0.10231636275949121,-0.010231636275949122,0.0,-0.10231636275949121,1.0231636275949122e-05,0.0
0.0015428000000000032,-0.1328453640053359,-0.01328453640053359,0.0,-0.1328453640053359,1.328453640053359e-05,0.0
0.0015528000000000033,-0.16285008529072525,-0.016285008529072525,0.0,-0.16285008529072525,1.6285008529072526e-05,0.0
0.0015628000000000033,-0.1922121116886,-0.01922121116886,0.0,-0.1922121116886,1.922121116886e-05,0.0
0.0015728000000000033,-0.2208155646949999,-0.02208155646949999,0.0,-0.2208155646949999,2.2081556469499993e-05,0.0
0.0015828000000000033,-0.2485475595485842,-0.02485475595485842,0.0,-0.2485475595485842,2.4854755954858424e-05,0.0
0.0015928000000000034,-0.27529865073520904,-0.027529865073520905,0.0,-0.27529865073520904,2.7529865073520904e-05,0.0
0.0016028000000000034,-0.3009632639193727,-0.030096326391937274,0.0,-0.3009632639193727,3.0096326391937272e-05,0.0
0.0016128000000000034,-0.32544011259788225,-0.03254401125978822,0.0,-0.32544011259788225,3.2544011259788226e-05,0.0
0.0016228000000000034,-0.34863259783141276,-0.034863259783141275,0.0,-0.34863259783141276,3.4863259783141276e-05,0.0
0.0016328000000000035,-0.3704491894763868,-0.03704491894763868,0.0,-0.3704491894763868,3.704491894763868e-05,0.0
0.0016428000000000035,-0.390803787412633,-0.0390803787412633,0.0,-0.390803787412633,3.90803787412633e-05,0.0
0.0016528000000000035,-0.40961606134122946,-0.040961606134122946,0.0,-0.40961606134122946,4.096160613412295e-05,0.0
0.0016628000000000036,-0.42681176781148933,-0.04268117678114893,0.0,-0.42681176781148933,4.268117678114894e-05,0.0
0.0016728000000000036,-0.44232304322594596,-0.0442323043225946,0.0,-0.44232304322594596,4.4232304322594596e-05,0.0
0.0016828000000000036,-0.4560886716669664,-0.04560886716669664,0.0,-0.4560886716669664,4.5608867166696646e-05,0.0
0.0016928000000000036,-0.46805432648801126,-0.046805432648801125,0.0,-0.46805432648801126,4.680543264880113e-05,0.0
0.0017028000000000037,-0.4781727847160897,-0.04781727847160897,0.0,-0.4781727847160897,4.781727847160897e-05,0.0
0.0017128000000000037,-0.486404113419259,-0.0486404113419259,0.0,-0.486404113419259,4.86404113419259e-05,0.0
0.0017228000000000037,-0.49271582730366426,-0.04927158273036643,0.0,-0.49271582730366426,4.9271582730366426e-05,0.0
0.0017328000000000037,-0.49708301691815165,-0.049708301691815164,0.0,-0.49708301691815165,4.9708301691815165e-05,0.0
0.0017428000000000038,-0.4994884469604918,-0.04994884469604918,0.0,-0.4994884469604918,4.994884469604919e-05,0.0
0.0017528000000000038,-0.4999226242972441,-0.04999226242972441,0.0,-0.4999226242972441,4.9992262429724414e-05,0.0
0.0017628000000000038,-0.49838383542881703,-0.049838383542881705,0.0,-0.49838383542881703,4.9838383542881706e-05,0.0
0.0017728000000000038,-0.49487815325186874,-0.049487815325186875,0.0,-0.49487815325186874,4.948781532518688e-05,0.0
0.0017828000000000039,-0.4894194130923577,-0.04894194130923577,0.0,-0.4894194130923577,4.894194130923577e-05,0.0
0.001792800000000004,-0.4820291581038321,-0.04820291581038321,0.0,-0.4820291581038321,4.8202915810383214e-05,0.0
0.001802800000000004,-0.4727365542464457,-0.04727365542464457,0.0,-0.4727365542464457,4.727365542464457e-05,0.0
0.001812800000000004,-0.46157827518223665,-0.046157827518223664,0.0,-0.46157827518223665,4.615782751822367e-05,0.0
0.001822800000000004,-0.44859835754093846,-0.044859835754093844,0.0,-0.44859835754093846,4.4859835754093846e-05,0.0
0.001832800000000004,-0.4338480271275211,-0.04338480271275211,0.0,-0.4338480271275211,4.3384802712752107e-05,0.0
0.001842800000000004,-0.4173854967573409,-0.041738549675734087,0.0,-0.4173854967573409,4.173854967573409e-05,0.0
0.001852800000000004,-0.3992757365167551,-0.039927573651675506,0.0,-0.3992757365167551,3.992757365167551e-05,0.0
0.001862800000000004,-0.3795902173558703,-0.03795902173558703,0.0,-0.3795902173558703,3.795902173558703e-05,0.0
0.001872800000000004,-0.3584066290253565,-0.03584066290253565,0.0,-0.3584066290253565,3.5840662902535655e-05,0.0
0.0018828000000000041,-0.33580857347049264,-0.03358085734704926,0.0,-0.33580857347049264,3.3580857347049264e-05,0.0
0.0018928000000000042,-0.3118852348924846,-0.03118852348924846,0.0,-0.3118852348924846,3.1188523489248464e-05,0.0
0.0019028000000000042,-0.28673102777916687,-0.02867310277791669,0.0,-0.28673102777916687,2.867310277791669e-05,0.0
0.0019128000000000042,-0.26044522429415096,-0.026044522429415098,0.0,-0.26044522429415096,2.6044522429415097e-05,0.0
0.0019228000000000042,-0.23313156249495093,-0.023313156249495093,0.0,-0.23313156249495093,2.3313156249495095e-05,0.0
0.0019328000000000043,-0.2048978369262622,-0.02048978369262622,0.0,-0.2048978369262622,2.0489783692626222e-05,0.0
0.0019428000000000043,-0.17585547320414383,-0.017585547320414383,0.0,-0.17585547320414383,1.7585547320414385e-05,0.0
0.0019528000000000043,-0.14611908827001224,-0.014611908827001224,0.0,-0.14611908827001224,1.4611908827001225e-05,0.0
0.001962800000000004,-0.11580603804994052,-0.011580603804994052,0.0,-0.11580603804994052,1.1580603804994054e-05,0.0
0.001972800000000004,-0.0850359543044319,-0.008503595430443189,0.0,-0.0850359543044319,8.50359543044319e-06,0.0
0.001982800000000004,-0.05393027249651578,-0.005393027249651578,0.0,-0.05393027249651578,5.393027249651578e-06,0.0
0.001992800000000004,-0.02261175254145379,-0.002261175254145379,0.0,-0.02261175254145379,2.261175254145379e-06,0.0
0.0020028000000000042,0.00879600567056221,0.0008796005670562211,0.0,0.00879600567056221,-8.796005670562211e-07,0.0
0.0020128000000000043,0.040169050066710135,0.004016905006671014,0.0,0.040169050066710135,-4.016905006671014e-06,0.0
0.0020228000000000043,0.07138356557373722,0.007138356557373722,0.0,0.07138356557373722,-7.138356557373723e-06,0.0
0.0020328000000000043,0.10231636275949466,0.010231636275949465,0.0,0.10231636275949466,-1.0231636275949465e-05,0.0
0.0020428000000000043,0.1328453640053384,0.01328453640053384,0.0,0.1328453640053384,-1.328453640053384e-05,0.0
0.0020528000000000044,0.16285008529072856,0.016285008529072855,0.0,0.16285008529072856,-1.6285008529072858e-05,0.0
0.0020628000000000044,0.19221211168860242,0.01922121116886024,0.0,0.19221211168860242,-1.922121116886024e-05,0.0
0.0020728000000000044,0.22081556469500302,0.022081556469500302,0.0,0.22081556469500302,-2.2081556469500302e-05,0.0
0.0020828000000000044,0.24854755954858798,0.0248547559548588,0.0,0.24854755954858798,-2.48547559548588e-05,0.0
0.0020928000000000045,0.275298650735212,0.0275298650735212,0.0,0.275298650735212,-2.75298650735212e-05,0.0
0.0021028000000000045,0.3009632639193755,0.03009632639193755,0.0,0.3009632639193755,-3.009632639193755e-05,0.0
0.0021128000000000045,0.32544011259788486,0.03254401125978849,0.0,0.32544011259788486,-3.254401125978849e-05,0.0
0.0021228000000000045,0.34863259783141587,0.03486325978314159,0.0,0.34863259783141587,-3.486325978314159e-05,0.0
0.0021328000000000046,0.3704491894763885,0.03704491894763885,0.0,0.3704491894763885,-3.704491894763885e-05,0.0
0.0021428000000000046,0.3908037874126352,0.03908037874126352,0.0,0.3908037874126352,-3.908037874126352e-05,0.0
0.0021528000000000046,0.4096160613412309,0.04096160613412309,0.0,0.4096160613412309,-4.0961606134123094e-05,0.0
0.0021628000000000046,0.42681176781149105,0.042681176781149105,0.0,0.42681176781149105,-4.268117678114911e-05,0.0
0.0021728000000000047,0.44232304322594723,0.04423230432259472,0.0,0.44232304322594723,-4.4232304322594725e-05,0.0
0.0021828000000000047,0.45608867166696787,0.045608867166696786,0.0,0.45608867166696787,-4.560886716669679e-05,0.0
0.0021928000000000047,0.46805432648801243,0.04680543264880124,0.0,0.46805432648801243,-4.680543264880124e-05,0.0
0.0022028000000000048,0.47817278471609076,0.047817278471609076,0.0,0.47817278471609076,-4.781727847160908e-05,0.0
0.0022128000000000048,0.48640411341926004,0.048640411341926,0.0,0.48640411341926004,-4.8640411341926004e-05,0.0
0.002222800000000005,0.4927158273036648,0.049271582730366484,0.0,0.4927158273036648,-4.9271582730366487e-05,0.0
