# artifact_type: raw_data
# circuit_file: NMOS.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\cir\NMOS.cir
# analysis_type: dc
# executor: spice
# timestamp: 2026-04-22T10:26:13.715047

V1,V(m1#body diode),V(m1#gate),V(n001),V(n002),I(V1),I(V2)
40.0,2.239999999439909e-11,5.0,40.0,5.0,-1.6845269390367434,0.0
50.0,2.4149999997130118e-11,5.0,50.0,5.0,-1.6845269390476005,0.0
60.0,2.5899999998337104e-11,5.0,60.0,5.0,-1.684526939057605,0.0
70.0,2.764999999895083e-11,5.0,70.0,5.0,-1.6845269390676663,0.0
80.0,2.939999999929523e-11,5.0,80.0,5.0,-1.6845269390777275,0.0
90.0,3.1149999999503185e-11,5.0,90.0,5.0,-1.6845269390876183,0.0
100.0,3.289999999963604e-11,5.0,100.0,5.0,-1.6845269390976227,0.0
110.0,3.464999999972481e-11,5.0,110.0,5.0,-1.6845269391075135,0.0
120.0,3.639999999978634e-11,5.0,120.0,5.0,-1.6845269391176316,0.0
130.0,3.814999999983029e-11,5.0,130.0,5.0,-1.6845269391275224,0.0
140.0,3.989999999986248e-11,5.0,140.0,5.0,-1.6845269391377542,0.0
150.0,4.164999999988658e-11,5.0,150.0,5.0,-1.6845269391478723,0.0
160.0,4.339999999990496e-11,5.0,160.0,5.0,-1.6845269391581041,0.0
170.0,4.514999999991919e-11,5.0,170.0,5.0,-1.6845269391678812,0.0
180.0,4.689999999993039e-11,5.0,180.0,5.0,-1.684526939178113,0.0
190.0,4.8649999999939275e-11,5.0,190.0,5.0,-1.6845269391876627,0.0
200.0,5.039999999994641e-11,5.0,200.0,5.0,-1.684526939198122,0.0
210.0,5.2149999999952194e-11,5.0,210.0,5.0,-1.684526939207899,0.0
220.0,5.389999999995693e-11,5.0,220.0,5.0,-1.6845269392179034,0.0
230.0,5.564999999996083e-11,5.0,230.0,5.0,-1.6845269392281352,0.0
240.0,5.7399999999964053e-11,5.0,240.0,5.0,-1.684526939237685,0.0
250.0,5.914999999996674e-11,5.0,250.0,5.0,-1.6845269392481441,0.0
260.0,6.089999999996897e-11,5.0,260.0,5.0,-1.6845269392579212,0.0
270.0,6.264999999997084e-11,5.0,270.0,5.0,-1.6845269392679256,0.0
280.0,6.439999999997241e-11,5.0,280.0,5.0,-1.6845269392783848,0.0
290.0,6.614999999997375e-11,5.0,290.0,5.0,-1.6845269392879345,0.0
300.0,6.789999999997485e-11,5.0,300.0,5.0,-1.6845269392974842,0.0
0.0,4.3458601950480455e-55,10.0,0.0,10.0,-2.483348682884597e-54,0.0
10.0,1.72307419799669e-11,10.0,10.0,10.0,-37.50000001065843,0.0
20.0,1.889999995522079e-11,10.0,20.0,10.0,-38.87077408293618,0.0
30.0,2.0649999986729455e-11,10.0,30.0,10.0,-38.89676301786679,0.0
40.0,2.239999999439909e-11,10.0,40.0,10.0,-38.896809788711124,0.0
50.0,2.4149999997130118e-11,10.0,50.0,10.0,-38.89682710139374,0.0
60.0,2.5899999998337104e-11,10.0,60.0,10.0,-38.89682710141824,0.0
70.0,2.764999999895083e-11,10.0,70.0,10.0,-38.8968271014362,0.0
80.0,2.939999999929523e-11,10.0,80.0,10.0,-38.896827101446206,0.0
90.0,3.1149999999503185e-11,10.0,90.0,10.0,-38.8968271014561,0.0
100.0,3.289999999963604e-11,10.0,100.0,10.0,-38.896827101466215,0.0
110.0,3.464999999972481e-11,10.0,110.0,10.0,-38.896827101476106,0.0
120.0,3.639999999978634e-11,10.0,120.0,10.0,-38.89682710148611,0.0
130.0,3.814999999983029e-11,10.0,130.0,10.0,-38.896827101496115,0.0
140.0,3.989999999986248e-11,10.0,140.0,10.0,-38.89682710150635,0.0
150.0,4.164999999988658e-11,10.0,150.0,10.0,-38.89682710151624,0.0
160.0,4.339999999990496e-11,10.0,160.0,10.0,-38.89682710152624,0.0
170.0,4.514999999991919e-11,10.0,170.0,10.0,-38.896827101536246,0.0
180.0,4.689999999993039e-11,10.0,180.0,10.0,-38.89682710154648,0.0
190.0,4.8649999999939275e-11,10.0,190.0,10.0,-38.896827101556255,0.0
200.0,5.039999999994641e-11,10.0,200.0,10.0,-38.89682710156649,0.0
210.0,5.2149999999952194e-11,10.0,210.0,10.0,-38.896827101576264,0.0
220.0,5.389999999995693e-11,10.0,220.0,10.0,-38.89682710158627,0.0
230.0,5.564999999996083e-11,10.0,230.0,10.0,-38.8968271015965,0.0
240.0,5.7399999999964053e-11,10.0,240.0,10.0,-38.89682710160628,0.0
250.0,5.914999999996674e-11,10.0,250.0,10.0,-38.89682710161651,0.0
260.0,6.089999999996897e-11,10.0,260.0,10.0,-38.89682710162606,0.0
270.0,6.264999999997084e-11,10.0,270.0,10.0,-38.89682710163629,0.0
280.0,6.439999999997241e-11,10.0,280.0,10.0,-38.896827101646295,0.0
290.0,6.614999999997375e-11,10.0,290.0,10.0,-38.89682710165653,0.0
300.0,6.789999999997485e-11,10.0,300.0,10.0,-38.89682710166608,0.0
0.0,4.3458601950480455e-55,15.0,0.0,15.0,-5.355191523693549e-29,0.0
10.0,1.72307419799669e-11,15.0,10.0,15.0,-40.77004795683705,0.0
20.0,1.889999995522079e-11,15.0,20.0,15.0,-78.07334635033838,0.0
30.0,2.0649999986729455e-11,15.0,30.0,15.0,-81.66611584787626,0.0
40.0,2.2399999994399097e-11,15.0,40.0,15.0,-81.66521589348844,0.0
50.0,2.4149999997130118e-11,15.0,50.0,15.0,-81.66666656326697,0.0
60.0,2.5899999998337104e-11,15.0,60.0,15.0,-81.66666662742426,0.0
70.0,2.764999999895083e-11,15.0,70.0,15.0,-81.66666666688906,0.0
80.0,2.939999999929523e-11,15.0,80.0,15.0,-81.66666666689912,0.0
90.0,3.1149999999503185e-11,15.0,90.0,15.0,-81.66666666690901,0.0
100.0,3.289999999963604e-11,15.0,100.0,15.0,-81.66666666691901,0.0
110.0,3.464999999972481e-11,15.0,110.0,15.0,-81.66666666692902,0.0
120.0,3.639999999978634e-11,15.0,120.0,15.0,-81.66666666693914,0.0
130.0,3.814999999983029e-11,15.0,130.0,15.0,-81.66666666694903,0.0
140.0,3.989999999986248e-11,15.0,140.0,15.0,-81.66666666695915,0.0
150.0,4.164999999988658e-11,15.0,150.0,15.0,-81.66666666696904,0.0
160.0,4.339999999990496e-11,15.0,160.0,15.0,-81.66666666697938,0.0
170.0,4.514999999991919e-11,15.0,170.0,15.0,-81.66666666698916,0.0
180.0,4.689999999993039e-11,15.0,180.0,15.0,-81.66666666699916,0.0
190.0,4.8649999999939275e-11,15.0,190.0,15.0,-81.66666666700917,0.0
200.0,5.039999999994641e-11,15.0,200.0,15.0,-81.6666666670194,0.0
210.0,5.2149999999952194e-11,15.0,210.0,15.0,-81.66666666702918,0.0
220.0,5.389999999995693e-11,15.0,220.0,15.0,-81.66666666703918,0.0
230.0,5.564999999996083e-11,15.0,230.0,15.0,-81.66666666704918,0.0
240.0,5.7399999999964053e-11,15.0,240.0,15.0,-81.66666666705919,0.0
250.0,5.914999999996674e-11,15.0,250.0,15.0,-81.66666666706942,0.0
260.0,6.089999999996897e-11,15.0,260.0,15.0,-81.66666666707874,0.0
270.0,6.264999999997084e-11,15.0,270.0,15.0,-81.6666666670892,0.0
280.0,6.439999999997241e-11,15.0,280.0,15.0,-81.66666666709943,0.0
290.0,6.614999999997375e-11,15.0,290.0,15.0,-81.66666666710898,0.0
300.0,6.789999999997485e-11,15.0,300.0,15.0,-81.66666666711808,0.0
0.0,4.3458601950480455e-55,20.0,0.0,20.0,8.519137306827258e-29,0.0
10.0,1.72307419799669e-11,20.0,10.0,20.0,-41.161783212549636,0.0
20.0,1.8899999955220843e-11,20.0,20.0,20.0,-81.74304850412727,0.0
30.0,2.0649999986729455e-11,20.0,30.0,20.0,-119.32100525892822,0.0
40.0,2.2399999994399097e-11,20.0,40.0,20.0,-125.97152847085368,0.0
50.0,2.4149999997130118e-11,20.0,50.0,20.0,-126.004606644137,0.0
60.0,2.5899999998337104e-11,20.0,60.0,20.0,-126.01545997541496,0.0
70.0,2.764999999895083e-11,20.0,70.0,20.0,-126.01546579689654,0.0
80.0,2.939999999929523e-11,20.0,80.0,20.0,-126.01546761739263,0.0
90.0,3.1149999999503185e-11,20.0,90.0,20.0,-126.01546761740258,0.0
100.0,3.289999999963604e-11,20.0,100.0,20.0,-126.01546761741258,0.0
110.0,3.464999999972481e-11,20.0,110.0,20.0,-126.01546761742304,0.0
120.0,3.639999999978634e-11,20.0,120.0,20.0,-126.01546761743293,0.0
130.0,3.814999999983029e-11,20.0,130.0,20.0,-126.01546761744282,0.0
140.0,3.989999999986248e-11,20.0,140.0,20.0,-126.01546761745306,0.0
150.0,4.164999999988658e-11,20.0,150.0,20.0,-126.01546761746295,0.0
160.0,4.339999999990496e-11,20.0,160.0,20.0,-126.01546761747284,0.0
170.0,4.514999999991919e-11,20.0,170.0,20.0,-126.01546761748295,0.0
180.0,4.689999999993039e-11,20.0,180.0,20.0,-126.01546761749319,0.0
190.0,4.8649999999939275e-11,20.0,190.0,20.0,-126.01546761750296,0.0
200.0,5.039999999994641e-11,20.0,200.0,20.0,-126.0154676175132,0.0
210.0,5.2149999999952194e-11,20.0,210.0,20.0,-126.01546761752297,0.0
220.0,5.389999999995693e-11,20.0,220.0,20.0,-126.01546761753298,0.0
230.0,5.564999999996083e-11,20.0,230.0,20.0,-126.01546761754344,0.0
240.0,5.7399999999964053e-11,20.0,240.0,20.0,-126.01546761755321,0.0
250.0,5.914999999996674e-11,20.0,250.0,20.0,-126.01546761756322,0.0
260.0,6.089999999996897e-11,20.0,260.0,20.0,-126.015467617573,0.0
270.0,6.264999999997084e-11,20.0,270.0,20.0,-126.015467617583,0.0
280.0,6.439999999997241e-11,20.0,280.0,20.0,-126.01546761759323,0.0
290.0,6.614999999997375e-11,20.0,290.0,20.0,-126.01546761760301,0.0
300.0,6.789999999997485e-11,20.0,300.0,20.0,-126.01546761761279,0.0
0.0,2.5875299327409434e-64,24.999999999999996,0.0,25.0,-1.4785885329948245e-63,0.0
10.0,1.72307419799669e-11,24.999999999999996,10.0,25.0,-41.31519571187053,0.0
20.0,1.8899999955220843e-11,24.999999999999996,20.0,25.0,-82.39142740475192,0.0
30.0,2.0649999986729455e-11,24.999999999999996,30.0,25.0,-122.8565217499169,0.0
40.0,2.239999999439909e-11,24.999999999999996,40.0,25.0,-160.69432396042248,0.0
50.0,2.4149999997130118e-11,24.999999999999996,50.0,25.0,-171.21436146106956,0.0
60.0,2.5899999998337104e-11,24.999999999999996,60.0,25.0,-171.1597103983861,0.0
70.0,2.764999999895083e-11,24.999999999999996,70.0,25.0,-171.21474219498782,0.0
80.0,2.939999999929523e-11,24.999999999999996,80.0,25.0,-171.21486363275437,0.0
90.0,3.1149999999503185e-11,24.999999999999996,90.0,25.0,-171.21490424789022,0.0
100.0,3.289999999963604e-11,24.999999999999996,100.0,25.0,-171.21490424796525,0.0
110.0,3.464999999972481e-11,24.999999999999996,110.0,25.0,-171.21490424799765,0.0
120.0,3.639999999978634e-11,24.999999999999996,120.0,25.0,-171.214904248008,0.0
130.0,3.814999999983029e-11,24.999999999999996,130.0,25.0,-171.21490424801766,0.0
140.0,3.989999999986248e-11,24.999999999999996,140.0,25.0,-171.214904248028,0.0
150.0,4.164999999988658e-11,24.999999999999996,150.0,25.0,-171.214904248038,0.0
160.0,4.339999999990496e-11,24.999999999999996,160.0,25.0,-171.2149042480479,0.0
170.0,4.514999999991919e-11,24.999999999999996,170.0,25.0,-171.21490424805802,0.0
180.0,4.689999999993039e-11,24.999999999999996,180.0,25.0,-171.21490424806825,0.0
190.0,4.8649999999939275e-11,24.999999999999996,190.0,25.0,-171.2149042480778,0.0
200.0,5.039999999994641e-11,24.999999999999996,200.0,25.0,-171.21490424808826,0.0
210.0,5.2149999999952194e-11,24.999999999999996,210.0,25.0,-171.2149042480978,0.0
220.0,5.389999999995693e-11,24.999999999999996,220.0,25.0,-171.2149042481078,0.0
230.0,5.564999999996083e-11,24.999999999999996,230.0,25.0,-171.21490424811782,0.0
240.0,5.7399999999964053e-11,24.999999999999996,240.0,25.0,-171.21490424812805,0.0
250.0,5.914999999996674e-11,24.999999999999996,250.0,25.0,-171.21490424813805,0.0
260.0,6.089999999996897e-11,24.999999999999996,260.0,25.0,-171.21490424814783,0.0
270.0,6.264999999997084e-11,24.999999999999996,270.0,25.0,-171.2149042481583,0.0
280.0,6.439999999997241e-11,24.999999999999996,280.0,25.0,-171.21490424816807,0.0
290.0,6.614999999997375e-11,24.999999999999996,290.0,25.0,-171.21490424817785,0.0
300.0,6.789999999997485e-11,24.999999999999996,300.0,25.0,-171.21490424818808,0.0
0.0,2.5875299327409434e-64,30.0,0.0,30.0,-1.4785885329948245e-63,0.0
10.0,1.72307419799669e-11,30.0,10.0,30.0,-41.39708625496149,0.0
20.0,1.8899999955220843e-11,30.0,20.0,30.0,-82.66402834232287,0.0
30.0,2.0649999986729455e-11,30.0,30.0,30.0,-123.67607776785202,0.0
40.0,2.239999999439909e-11,30.0,40.0,30.0,-164.07253121423832,0.0
50.0,2.4149999997130118e-11,30.0,50.0,30.0,-202.17624139428347,0.0
60.0,2.5899999998337104e-11,30.0,60.0,30.0,-216.92307692322493,0.0
70.0,2.764999999895083e-11,30.0,70.0,30.0,-216.92307692323482,0.0
80.0,2.939999999929523e-11,30.0,80.0,30.0,-216.96773041217153,0.0
90.0,3.1149999999503185e-11,30.0,90.0,30.0,-216.96773041218103,0.0
100.0,3.289999999963604e-11,30.0,100.0,30.0,-216.9677545135454,0.0
110.0,3.464999999972481e-11,30.0,110.0,30.0,-216.96775451355484,0.0
120.0,3.639999999978634e-11,30.0,120.0,30.0,-216.967754513572,0.0
130.0,3.814999999983029e-11,30.0,130.0,30.0,-216.96775451358178,0.0
140.0,3.989999999986248e-11,30.0,140.0,30.0,-216.96775451359167,0.0
150.0,4.164999999988658e-11,30.0,150.0,30.0,-216.9677545136018,0.0
160.0,4.339999999990496e-11,30.0,160.0,30.0,-216.9677545136119,0.0
170.0,4.514999999991919e-11,30.0,170.0,30.0,-216.9677545136219,0.0
180.0,4.689999999993039e-11,30.0,180.0,30.0,-216.96775451363214,0.0
190.0,4.8649999999939275e-11,30.0,190.0,30.0,-216.96775451364147,0.0
200.0,5.039999999994641e-11,30.0,200.0,30.0,-216.96775451365193,0.0
210.0,5.2149999999952194e-11,30.0,210.0,30.0,-216.9677545136617,0.0
220.0,5.389999999995693e-11,30.0,220.0,30.0,-216.96775451367148,0.0
230.0,5.564999999996083e-11,30.0,230.0,30.0,-216.9677545136817,0.0
240.0,5.7399999999964053e-11,30.0,240.0,30.0,-216.96775451369172,0.0
250.0,5.914999999996674e-11,30.0,250.0,30.0,-216.96775451370172,0.0
260.0,6.089999999996897e-11,30.0,260.0,30.0,-216.96775451371195,0.0
270.0,6.264999999997084e-11,30.0,270.0,30.0,-216.96775451372196,0.0
280.0,6.439999999997241e-11,30.0,280.0,30.0,-216.96775451373173,0.0
290.0,6.614999999997375e-11,30.0,290.0,30.0,-216.96775451374174,0.0
300.0,6.789999999997485e-11,30.0,300.0,30.0,-216.96775451375152,0.0
