# artifact_type: raw_data
# circuit_file: 03_pmos_common_source.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\ac_analysis\03_pmos_common_source.cir
# analysis_type: ac
# executor: spice
# timestamp: 2026-04-22T10:24:00.338909

Frequency (Hz),V(out)_mag,V(out)_phase,V(out)_real,V(out)_imag,V(drain)_mag,V(drain)_phase,V(drain)_real,V(drain)_imag,V(in)_mag,V(in)_phase,V(in)_real,V(in)_imag,I(VIN)_mag,I(VIN)_phase,I(VIN)_real,I(VIN)_imag,V(gate)_mag,V(gate)_phase,V(gate)_real,V(gate)_imag,V(m1#body diode)_mag,V(m1#body diode)_phase,V(m1#body diode)_real,V(m1#body diode)_imag,V(m1#gate)_mag,V(m1#gate)_phase,V(m1#gate)_real,V(m1#gate)_imag,V(vss)_mag,V(vss)_phase,V(vss)_real,V(vss)_imag,I(VSS)_mag,I(VSS)_phase,I(VSS)_real,I(VSS)_imag
3.162277660168377,0.013846595741949071,-147.54057721474837,-0.011683366363414303,-0.0074314981032899035,0.015501404371872102,-174.25632930679907,-0.015423580806360013,-0.001551351865302819,1.0,0.0,1.0,0.0,1.989825583419839e-06,-174.2180144719157,-1.979702212348447e-06,-2.0046197358792561e-07,0.9949126121484433,5.7475972025521305,0.9899109068124091,0.09963685254900734,9.565914745225855e-12,-100.32804198703866,-1.7150128918784912e-12,-9.410922148951187e-12,0.9949126121484413,5.747596996222152,0.989910907171213,0.09963684898420186,0.0,0.0,0.0,0.0,5.552278315613974e-07,-174.26336521793306,-5.524471738235923e-07,-5.549833398127458e-08
3.5481338923357515,0.014158205160505179,-150.7185012927421,-0.012349172390379786,-0.00692478986248948,0.015517326278341759,-174.87757738626084,-0.015455353188315571,-0.0013854503430074552,1.0,0.0,1.0,0.0,1.9918811046923114e-06,-174.83533299540562,-1.983794267166629e-06,-1.79305997632763e-07,0.9959403261159561,5.126082672042055,0.9919570577900341,0.08898499134402348,1.0659141841092292e-11,-99.27829755464094,-1.7185735368089496e-12,-1.0519686772290528e-11,0.9959403261159537,5.126082440536024,0.9919570581495795,0.08898498733597865,0.0,0.0,0.0,0.0,5.557923073915553e-07,-174.88413595070435,-5.535782610415234e-07,-4.9560042956722055e-08
3.9810717055349687,0.014420343743593775,-153.64175727603734,-0.012921140973737335,-0.00640237687270988,0.015530002985848407,-175.43225711457725,-0.015480677707055432,-0.0012367742197901188,1.0,0.0,1.0,0.0,1.993518453646013e-06,-175.38557615910176,-1.9870567771830233e-06,-1.60378269345343e-07,0.9967589418477678,4.571131511452556,0.9935884113076018,0.07943838536071583,1.189314625943101e-11,-98.32222415762902,-1.721414133134562e-12,-1.1767908111914471e-11,0.9967589418477653,4.571131251698531,0.9935884116677381,0.07943838085621997,0.0,0.0,0.0,0.0,5.56241361604175e-07,-175.43832937660818,-5.544793593979415e-07,-4.423903661829604e-08
4.4668359215096265,0.014638642356470962,-156.3161547045195,-0.013405715691929814,-0.005880190203370335,0.015540090731501307,-175.92731783523726,-0.015500848250259021,-0.0011036863076683751,1.0,0.0,1.0,0.0,1.9948219816064616e-06,-175.87562304691005,-1.9896559382377145e-06,-1.4347120176443412e-07,0.9974106319332338,4.075802164842343,0.9948880703582174,0.07089214450385597,1.3284486950391426e-11,-97.45521874276217,-1.7236789013809457e-12,-1.317218753966304e-11,0.9974106319332313,4.0758018733935435,0.9948880707188248,0.07089213944311772,0.0,0.0,0.0,0.0,5.565984453456557e-07,-175.93290879813065,-5.551967546676848e-07,-3.947648626298154e-08
5.0118723362727176,0.014818877389169545,-158.75148725482478,-0.013811449751736902,-0.005370566341689397,0.015548115053394922,-176.36903797082138,-0.015516904566091764,-0.0009846595352741919,1.0,0.0,1.0,0.0,1.99585930324356e-06,-176.31167595926925,-1.9917253760671274e-06,-1.2839152882542269e-07,0.9979291996869502,3.633822237094746,0.9959228517622442,0.06324840650637804,1.485176059619589e-11,-96.67171510622921,-1.7254839291421502e-12,-1.4751186325749842e-11,0.9979291996869476,3.633821910083826,0.9959228521232266,0.06324840082223061,0.0,0.0,0.0,0.0,5.568823091241766e-07,-176.37416344338988,-5.557676048469322e-07,-3.521754702104115e-08
5.623413251903484,0.014966618014105338,-160.960395422897,-0.014147843839705434,-0.004882434788858059,0.015554496044470281,-176.76307331141078,-0.015529680094950527,-0.0008782843195338331,1.0,0.0,1.0,0.0,1.996684517429733e-06,-176.6993076763479,-1.993372259366567e-06,-1.1496128796874695e-07,0.9983416896006657,3.239540300640758,0.9967463431149678,0.05641681204792488,1.661586139217051e-11,-95.9656475221557,-1.726922450228733e-12,-1.6525876335454002e-11,0.9983416896006629,3.23953993372848,0.9967463434762485,0.05641680566493327,0.0,0.0,0.0,0.0,5.571079177463946e-07,-176.76775692438846,-5.56221666380085e-07,-3.141161990545844e-08
6.3095734448019245,0.01508700111587701,-162.95734135596862,-0.014424482774089541,-0.004421752974835689,0.015559569030265216,-177.11450716231835,-0.015539841600217742,-0.000783269715826227,1.0,0.0,1.0,0.0,1.9973408466254403e-06,-177.04351034492294,-1.9946823673111582e-06,-1.030180136499679e-07,0.998669706754712,2.8878759650367214,0.9974014366829491,0.050314583296808046,1.8600268165262882e-11,-95.33078681839284,-1.7280692261946543e-12,-1.8519820532855356e-11,0.9986697067547092,2.8878755533543834,0.9974014370444673,0.050314576130266866,0.0,0.0,0.0,0.0,5.572871986837115e-07,-177.11877777378038,-5.565827233388253e-07,-2.8012388285814662e-08
7.07945784384137,0.0151846113809967,-164.75775149447193,-0.014650460791870299,-0.003992044761493247,0.015563601379236895,-177.4279001393581,-0.01554792168626417,-0.0006984404982394291,1.0,0.0,1.0,0.0,1.99786278568071e-06,-177.3487438343924,-1.9957242510587754e-06,-9.241441523797099e-08,0.9989304905800817,2.5742703501197566,0.9979224099750993,0.0448663423966413,2.083136329862539e-11,-94.76097441338266,-1.728984151345266e-12,-2.075948724520222e-11,0.9989304905800788,2.5742698882045856,0.9979224103368061,0.044866334351449974,0.0,0.0,0.0,0.0,5.574296493448304e-07,-177.43178972098076,-5.568697586513176e-07,-2.4977707427301615e-08
7.943282347242804,0.015263439268218574,-166.37734245612998,-0.014834047247337305,-0.0035949437489843057,0.015566806094554948,-177.7073381904866,-0.015554345283811815,-0.0006227317058206218,1.0,0.0,1.0,0.0,1.9982778403267668e-06,-177.61898217397902,-1.9965526246167088e-06,-8.301773471456806e-08,0.9991377841892448,2.2946383350795743,0.9983366217809567,0.04000376739234818,2.3338788262293378e-11,-94.25027778150313,-1.7297152010995822e-12,-2.3274602528834907e-11,0.9991377841892418,2.2946378168022354,0.9983366221428136,0.04000375836174838,0.0,0.0,0.0,0.0,5.575428269261285e-07,-177.71088019888504,-5.570979066002249e-07,-2.2269403189714018e-08
8.912509381337442,0.01532689128974409,-167.8316200537635,-0.014982532368846415,-0.003230684203710201,0.01556935275784676,-177.95647797785253,-0.015559451100248886,-0.0005551817335199274,1.0,0.0,1.0,0.0,1.998607931093267e-06,-177.85775721610324,-1.99721111532489e-06,-7.470892216877075e-08,0.9993025353540553,2.045323421174726,0.9986658870417432,0.03566515420086252,2.615584093328018e-11,-93.79308728936115,-1.7303008314446977e-12,-2.609854543762462e-11,0.9993025353540523,2.045322839657995,0.9986658874037194,0.03566514406502122,0.0,0.0,0.0,0.0,5.576327418096194e-07,-177.9597061645798,-5.572792229831456e-07,-1.985301915113022e-08
9.999999999999984,0.015377831768891988,-169.13552807886163,-0.015102196107278785,-0.002898513869146955,0.015571376312987904,-178.17858915789935,-0.01556350891717394,-0.0004949247071303522,1.0,0.0,1.0,0.0,1.9988705211696494e-06,-178.06819905658415,-1.9977344827782466e-06,-6.738172392983409e-08,0.9994334599515621,1.8230556577842225,0.9989275865562514,0.03179493179192893,2.93199203460052e-11,-93.38417050644183,-1.7307719278917047e-12,-2.926879153005316e-11,0.999433459951559,1.823055005311725,0.9989275869183223,0.03179492041634789,0.0,0.0,0.0,0.0,5.577041724970654e-07,-178.1815367489542,-5.574233051611426e-07,-1.7697538921106292e-08
11.220184543019615,0.015418640688399373,-170.30321882240565,-0.015198353537477054,-0.0025970233783744363,0.015572984099271357,-178.37659335846655,-0.015566733492734252,-0.0004411826405743376,1.0,0.0,1.0,0.0,1.9990795214764588e-06,-178.2530729912878,-1.998150403881919e-06,-6.094174803098103e-08,0.9995374937362843,1.624912830313367,0.9991355596333907,0.028343162503215752,3.287302505900125e-11,-93.01869650286415,-1.7311533870343707e-12,-3.2827410566176e-11,0.9995374937362812,1.6249120982271894,0.9991355599955369,0.02834314973694668,0.0,0.0,0.0,0.0,5.577609171551385e-07,-178.37929252958492,-5.575377896400345e-07,-1.5775101554218008e-08
12.58925411794165,0.01545127716531148,-171.34791788027925,-0.015275442315209628,-0.002324398441313159,0.015574261472562497,-178.55309983214195,-0.01556929570651012,-0.0003932577004840944,1.0,0.0,1.0,0.0,1.9992460159443405e-06,-178.414812960766,-1.9984809051983028e-06,-5.5305549695217364e-08,0.9996201538648399,1.448284933835318,0.9993008202446352,0.025265048410118177,3.6862311966207494e-11,-92.6922395878326,-1.7314654020124275e-12,-3.682162504637238e-11,0.9996201538648363,1.4482841124211219,0.9993008206068409,0.02526503408375955,0.0,0.0,0.0,0.0,5.578059942065583e-07,-178.55558141174836,-5.57628750406377e-07,-1.4060721638291262e-08
14.125375446227517,0.015477341997687789,-172.28185903158123,-0.01533712853721028,-0.0020786061547297206,0.015575276291665247,-178.71043787891873,-0.015571331476116817,-0.0003505247817247277,1.0,0.0,1.0,0.0,1.9993788419473865e-06,-178.5555515426708,-1.998743509657445e-06,-5.039976417713912e-08,0.9996858277554238,1.2908418451070027,0.9994321303791185,0.022520456942599985,4.134072312853113e-11,-92.40076946402148,-1.7317245122000953e-12,-4.130443703772894e-11,0.9996858277554201,1.2908409234651208,0.9994321307413718,0.02252044086604911,0.0,0.0,0.0,0.0,5.578418021073196e-07,-178.7127312208077,-5.577010172325634e-07,-1.2532021229872787e-08
15.848931924611104,0.015498135574031244,-173.11626920664628,-0.015386415944995454,-0.0018575280990182647,0.015576082495173548,-178.85068619969093,-0.01557294888002041,-0.0003124245136395476,1.0,0.0,1.0,0.0,1.99948505463437e-06,-178.67714661623302,-1.9989521530215043e-06,-4.616030369161868e-08,0.9997380036065188,1.1505040377669058,0.9995364583214762,0.02007347357354276,4.6367689061811033e-11,-92.14063283925539,-1.7319444677243873e-12,-4.633533163033917e-11,0.9997380036065149,1.1505030036677104,0.999536458683767,0.020073455533473127,0.0,0.0,0.0,0.0,5.578702465131228e-07,-178.85281917886937,-5.57758429680565e-07,-1.1168977790412002e-08
17.782794100389193,0.015514709368127719,-173.86138780789432,-0.01542574966822586,-0.0016590521241660228,0.015576722950860695,-178.97569938035997,-0.015574233840576683,-0.00027845675949125624,1.0,0.0,1.0,0.0,1.9995702986031433e-06,-178.78120485794716,-1.999117915402186e-06,-4.253162792417528e-08,0.9997794541806747,1.0254161469036769,0.9996193444751335,0.017891985717410963,5.200991790000659e-11,-91.90853006905714,-1.7321369514230392e-12,-5.198106637562316e-11,0.9997794541806707,1.0254149866252995,0.9996193448374541,0.017891965474441496,0.0,0.0,0.0,0.0,5.578928414344668e-07,-178.9776984761649,-5.57804039582535e-07,-9.953690231714662e-09
