# artifact_type: raw_data
# circuit_file: 03_cmos_inverter_vtc.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\dc_analysis\03_cmos_inverter_vtc.cir
# analysis_type: dc
# executor: spice
# timestamp: 2026-04-22T10:26:34.802684

Vin,V(out),V(in),I(VIN),V(m1#body diode),V(m1#gate),V(m2#body diode),V(m2#gate),V(vdd),I(VDD)
0.5000000000000002,4.999999999942194,0.5000000000000002,0.0,5.000000000000001,0.5000000000000002,2.3399998436670426e-11,0.5000000000000002,5.0,-9.199752071253897e-12
0.5100000000000002,4.9999999999401705,0.5100000000000002,0.0,5.000000000000001,0.5100000000000002,2.339999843666435e-11,0.5100000000000002,5.0,-9.509726339729241e-12
0.5200000000000002,4.999999999937709,0.5200000000000002,0.0,5.000000000000001,0.5200000000000002,2.3399998436656968e-11,0.5200000000000002,5.0,-9.886758078891944e-12
0.5300000000000002,4.9999999999347144,0.5300000000000002,0.0,5.000000000000001,0.5300000000000002,2.3399998436647982e-11,0.5300000000000002,5.0,-1.0347722678716309e-11
0.5400000000000003,4.999999999931069,0.5400000000000003,0.0,5.000000000000001,0.5400000000000003,2.339999843663704e-11,0.5400000000000003,5.0,-1.0909051439966788e-11
0.5500000000000003,4.999999999926626,0.5500000000000003,0.0,5.000000000000001,0.5500000000000003,2.339999843662371e-11,0.5500000000000003,5.0,-1.1594725179975285e-11
0.5600000000000003,4.999999999921196,0.5600000000000003,0.0,5.000000000000001,0.5600000000000003,2.3399998436607415e-11,0.5600000000000003,5.0,-1.2436718321851004e-11
0.5700000000000003,4.999999999914578,0.5700000000000003,0.0,5.000000000000001,0.5700000000000003,2.3399998436587553e-11,0.5700000000000003,5.0,-1.3461232128975098e-11
0.5800000000000003,4.999999999906496,0.5800000000000003,0.0,5.000000000000001,0.5800000000000003,2.33999984365633e-11,0.5800000000000003,5.0,-1.4713563700752275e-11
0.5900000000000003,4.999999999896624,0.5900000000000003,0.0,5.000000000000001,0.5900000000000003,2.3399998436533676e-11,0.5900000000000003,5.0,-1.624300693947589e-11
0.6000000000000003,4.999999999884564,0.6000000000000003,0.0,5.000000000000001,0.6000000000000003,2.339999843649748e-11,0.6000000000000003,5.0,-1.8111290245315104e-11
0.6100000000000003,4.999999999869829,0.6100000000000003,0.0,5.000000000000001,0.6100000000000003,2.3399998436453265e-11,0.6100000000000003,5.0,-2.0393020605524725e-11
0.6200000000000003,4.999999999851817,0.6200000000000003,0.0,5.000000000000001,0.6200000000000003,2.3399998436399208e-11,0.6200000000000003,5.0,-2.3179680397333868e-11
0.6300000000000003,4.999999999829801,0.6300000000000003,0.0,5.000000000000001,0.6300000000000003,2.339999843633314e-11,0.6300000000000003,5.0,-2.6583624190834598e-11
0.6400000000000003,4.9999999998028875,0.6400000000000003,0.0,5.000000000000001,0.6400000000000003,2.3399998436252373e-11,0.6400000000000003,5.0,-3.0738966927401634e-11
0.6500000000000004,4.999999999769972,0.6500000000000004,0.0,5.000000000000001,0.6500000000000004,2.3399998436153593e-11,0.6500000000000004,5.0,-3.581845930966665e-11
0.6600000000000004,4.999999999729728,0.6600000000000004,0.0,5.000000000000001,0.6600000000000004,2.3399998436032825e-11,0.6600000000000004,5.0,-4.2020165125222775e-11
0.6700000000000004,4.999999999680513,0.6700000000000004,0.0,5.000000000000001,0.6700000000000004,2.3399998435885134e-11,0.6700000000000004,5.0,-4.959321842079589e-11
0.6800000000000004,4.999999999620317,0.6800000000000004,0.0,5.000000000000001,0.6800000000000004,2.3399998435704486e-11,0.6800000000000004,5.0,-5.88453730188121e-11
0.6900000000000004,4.999999999546694,0.6900000000000004,0.0,5.000000000000001,0.6900000000000004,2.339999843548355e-11,0.6900000000000004,5.0,-7.014522296344694e-11
0.7000000000000004,4.999999999456642,0.7000000000000004,0.0,5.000000000000001,0.7000000000000004,2.3399998435213302e-11,0.7000000000000004,5.0,-8.394707151637704e-11
0.7100000000000004,4.999999999346489,0.7100000000000004,0.0,5.000000000000001,0.7100000000000004,2.339999843488274e-11,0.7100000000000004,5.0,-1.0080247747623616e-10
0.7200000000000004,4.9999999992117425,0.7200000000000004,0.0,5.000000000000001,0.7200000000000004,2.3399998434478375e-11,0.7200000000000004,5.0,-1.2139089733409492e-10
0.7300000000000004,4.999999999046907,0.7300000000000004,0.0,5.000000000000001,0.7300000000000004,2.339999843398371e-11,0.7300000000000004,5.0,-1.465356724850153e-10
0.7400000000000004,4.999999998845258,0.7400000000000004,0.0,5.000000000000001,0.7400000000000004,2.339999843337857e-11,0.7400000000000004,5.0,-1.7724888223824564e-10
0.7500000000000004,4.9999999985985655,0.7500000000000004,0.0,5.000000000000001,0.7500000000000003,2.3399998432638256e-11,0.7500000000000003,5.0,-2.1476065370507058e-10
0.7600000000000005,4.999999998296764,0.7600000000000005,0.0,5.0,0.7600000000000005,2.3399998431732558e-11,0.7600000000000005,5.0,-2.60576005217672e-10
0.7700000000000005,4.999999997927534,0.7700000000000005,0.0,5.0,0.7700000000000005,2.3399998430624514e-11,0.7700000000000005,5.0,-3.1653257792640943e-10
0.7800000000000005,4.999999997475805,0.7800000000000005,0.0,5.0,0.7800000000000004,2.3399998429268895e-11,0.7800000000000004,5.0,-3.8487524278707497e-10
0.7900000000000005,4.999999996923126,0.7900000000000005,0.0,5.0,0.7900000000000005,2.3399998427610323e-11,0.7900000000000005,5.0,-4.683462506704927e-10
0.8000000000000005,4.999999996246934,0.8000000000000005,0.0,5.0,0.8000000000000005,2.3399998425581094e-11,0.8000000000000005,5.0,-5.702927019513027e-10
0.8100000000000005,4.99999999541961,0.8100000000000005,0.0,5.0,0.8100000000000004,2.339999842309833e-11,0.8100000000000004,5.0,-6.948051023414337e-10
0.8200000000000005,4.999999994407366,0.8200000000000005,0.0,5.0,0.8200000000000005,2.3399998420060626e-11,0.8200000000000005,5.0,-8.468759027380202e-10
0.8300000000000005,4.999999993168854,0.8300000000000005,0.0,5.0,0.8300000000000005,2.3399998416343897e-11,0.8300000000000005,5.0,-1.0326042243491429e-09
0.8400000000000005,4.99999999165348,0.8400000000000005,0.0,5.0,0.8400000000000004,2.3399998411796316e-11,0.8400000000000004,5.0,-1.2594369991347776e-09
0.8500000000000005,4.999999989799329,0.8500000000000005,0.0,5.0,0.8500000000000005,2.3399998406232086e-11,0.8500000000000005,5.0,-1.5364722827371224e-09
0.8600000000000005,4.9999999875306536,0.8600000000000005,0.0,5.0,0.8600000000000005,2.339999839942388e-11,0.8600000000000005,5.0,-1.8748140817592684e-09
0.8700000000000006,4.999999984754747,0.8700000000000006,0.0,5.0,0.8700000000000004,2.339999839109349e-11,0.8700000000000004,5.0,-2.2880284333837153e-09
0.8800000000000006,4.999999981358186,0.8800000000000006,0.0,5.0,0.8800000000000006,2.3399998380900532e-11,0.8800000000000006,5.0,-2.792678088781031e-09
0.8900000000000006,4.999999977202171,0.8900000000000006,0.0,5.0,0.8900000000000006,2.3399998368428494e-11,0.8900000000000006,5.0,-3.408990423281466e-09
0.9000000000000006,4.999999972116874,0.9000000000000006,0.0,5.0,0.9000000000000005,2.3399998353167713e-11,0.9000000000000005,5.0,-4.161661237844783e-09
