# artifact_type: raw_data
# circuit_file: 05_njf_transfer_curve.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\dc_analysis\05_njf_transfer_curve.cir
# analysis_type: dc
# executor: spice
# timestamp: 2026-04-22T10:26:38.878292

Vgs,V(drain),V(gate),V(vdd),I(VDD),I(VGS)
-2.2799999999999994,9.311166260940373,-2.2799999999999994,10.0,-0.0006888337390596258,1.3938306194603587e-11
-2.2599999999999993,9.27246690423885,-2.2599999999999993,10.0,-0.0007275330957611497,1.3859606836135476e-11
-2.2399999999999993,9.232717322047122,-2.2399999999999993,10.0,-0.0007672826779528772,1.3779857252113721e-11
-2.2199999999999993,9.191918234851878,-2.2199999999999993,10.0,-0.0008080817651481224,1.3699058163022137e-11
-2.1999999999999993,9.150070377332147,-2.1999999999999993,10.0,-0.0008499296226678523,1.3617210303536733e-11
-2.1799999999999993,9.107174498319283,-2.1799999999999993,10.0,-0.0008928255016807159,1.3534314422485664e-11
-2.1599999999999993,9.063231360767771,-2.1599999999999993,10.0,-0.0009367686392322289,1.3450371282820047e-11
-2.1399999999999992,9.018241741724548,-2.1399999999999992,10.0,-0.0009817582582754524,1.3365381661583252e-11
-2.119999999999999,8.972206432294847,-2.119999999999999,10.0,-0.0010277935677051528,1.3279346349876748e-11
-2.099999999999999,8.925126237613581,-2.099999999999999,10.0,-0.0010748737623864184,1.3192266152831465e-11
-2.079999999999999,8.877001976808302,-2.079999999999999,10.0,-0.0011229980231916986,1.3104141889570744e-11
-2.059999999999999,8.827834482971591,-2.059999999999999,10.0,-0.001172165517028409,1.3014974393182708e-11
-2.039999999999999,8.777624603111462,-2.039999999999999,10.0,-0.0012223753968885372,1.2924764510670647e-11
-2.019999999999999,8.726373198138536,-2.019999999999999,10.0,-0.0012736268018614643,1.2833513102940182e-11
-1.9999999999999991,8.674081142810765,-1.9999999999999991,10.0,-0.001325918857189235,1.2741221044743947e-11
-1.979999999999999,8.620749325717558,-1.979999999999999,10.0,-0.0013792506742824426,1.2647889224665734e-11
-1.959999999999999,8.56637864922769,-1.959999999999999,10.0,-0.00143362135077231,1.2553518545068338e-11
-1.939999999999999,8.51097002945717,-1.939999999999999,10.0,-0.0014890299705428312,1.2458109922061417e-11
-1.919999999999999,8.45452439623934,-1.919999999999999,10.0,-0.0015454756037606605,1.236166428547157e-11
-1.899999999999999,8.39704269308128,-1.899999999999999,10.0,-0.00160295730691872,1.2264182578798704e-11
-1.879999999999999,8.338525877132058,-1.879999999999999,10.0,-0.001661474122867941,1.2165665759184256e-11
-1.859999999999999,8.27897491913381,-1.859999999999999,10.0,-0.0017210250808661898,1.2066114797362227e-11
-1.839999999999999,8.218390803395643,-1.839999999999999,10.0,-0.0017816091966043578,1.196553067763306e-11
-1.819999999999999,8.156774527748528,-1.819999999999999,10.0,-0.0018432254722514727,1.1863914397818495e-11
-1.799999999999999,8.094127103505448,-1.799999999999999,10.0,-0.0019058728964945516,1.1761266969221657e-11
-1.779999999999999,8.03044955543005,-1.779999999999999,10.0,-0.0019695504445699508,1.1657589416595669e-11
-1.759999999999999,7.965742921686026,-1.759999999999999,10.0,-0.0020342570783139745,1.155288277809298e-11
-1.7399999999999989,7.900008253798817,-1.7399999999999989,10.0,-0.002099991746201183,1.1447148105227003e-11
-1.7199999999999989,7.833246616624624,-1.7199999999999989,10.0,-0.0021667533833753753,1.1340386462841073e-11
-1.6999999999999988,7.765459088294507,-1.6999999999999988,10.0,-0.0022345409117054934,1.1232598929052464e-11
-1.6799999999999988,7.696646760188611,-1.6799999999999988,10.0,-0.002303353239811389,1.1123786595226552e-11
-1.6599999999999988,7.626810736876324,-1.6599999999999988,10.0,-0.002373189263123676,1.1013950565916881e-11
-1.6399999999999988,7.555952136091227,-1.6399999999999988,10.0,-0.002444047863908773,1.0903091958840012e-11
-1.6199999999999988,7.484072088682392,-1.6199999999999988,10.0,-0.0025159279113176076,1.0791211904826747e-11
-1.5999999999999988,7.411171738560754,-1.5999999999999988,10.0,-0.0025888282614392457,1.0678311547768356e-11
