# artifact_type: raw_data
# circuit_file: 03_cmos_ring_oscillator.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\comprehensive_circuits\03_cmos_ring_oscillator.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:26:23.875617

Time (s),V(m1n#body diode),V(m1n#gate),V(m1p#body diode),V(m1p#gate),V(m2n#body diode),V(m2n#gate),V(m2p#body diode),V(m2p#gate),V(m3n#body diode),V(m3n#gate),V(m3p#body diode),V(m3p#gate),V(n1),V(n2),V(n3),V(vdd),I(VDD)
2.2332754667978793e-07,0.046718561844469764,0.8638590833778532,5.013720789318244,0.7978269011512924,0.004875939134926899,1.825278074005136,5.003706027873756,1.9788983875064414,-0.009457881818209835,4.595303034258415,4.998310322400915,4.752697633930614,2.132988630757859,4.766201149383112,0.6597236411454902,5.0,-0.25778693124676266
2.2352754667978792e-07,0.046330100786479034,0.8187579451053463,5.014442034157712,0.7736148367197735,0.00028340549039018725,2.0155120846339196,5.000045673810574,2.1661666478621573,-0.01017863524625362,4.627869888261794,4.998146584128604,4.770568824250397,2.3323176893679385,4.776733468597568,0.6295841446560623,5.0,-0.26144267386001047
2.237275466797879e-07,0.04437948508955536,0.7725124593618411,5.014597373974545,0.7430661863404567,-0.008043689316101554,2.2126558533468055,4.993490446347723,2.3480520482498273,-0.01250713679153409,4.6398662919740294,4.997673873067392,4.75423576587831,2.5314948538770334,4.745664536333708,0.5936390273326689,5.0,-0.27048014109470897
2.239275466797879e-07,0.040028659389767296,0.7210490043166832,5.013845895128547,0.69971371365494,-0.017455661721393012,2.403918384526448,4.986682219188398,2.51774487075689,-0.016274438405538882,4.621711624442127,4.9970217950461135,4.689057243387721,2.7200024884858087,4.661852844292264,0.5477936170890353,5.0,-0.27936515496456066
2.2412754667978788e-07,0.03435000895028251,0.6621492537034299,5.012483068825784,0.6418669534490703,-0.02667717643276246,2.5762287946019296,4.981047042409787,2.6695321301545922,-0.020380668185343204,4.568040530881921,4.996417751075368,4.571073634370973,2.888823089402755,4.525050086769132,0.4910237087812003,5.0,-0.2827335413633643
2.2432754667978787e-07,0.028964840761862565,0.5964282516798025,5.011038441179945,0.5723389817670712,-0.03389616924340477,2.723373821212098,4.978006636677816,2.805318793373167,-0.02366553162730725,4.479058050297435,4.996052675309021,4.40672815522961,3.0353438706654905,4.345169778757833,0.42582749142068327,5.0,-0.2810740342799202
2.2452754667978786e-07,0.024602108649847465,0.5262200815210758,5.009790425736533,0.496038077843279,-0.03801446059039382,2.8452292980846803,4.977577063904272,2.9312988812129426,-0.02547092933174988,4.360264969876029,4.995979637592113,4.210883420818852,3.161915285284447,4.139749316655544,0.35672232677152016,5.0,-0.2775370062252883
2.2472754667978785e-07,0.020893207050872276,0.45386207764962294,5.008610620540513,0.4175536586394054,-0.04044077004167779,2.9434453929121664,4.978132297083169,3.0489126041778407,-0.026085679449061816,4.218232565498238,4.996070478876699,3.9983113350257327,3.2711497295273873,3.9222516103208616,0.2874959064094137,5.0,-0.2728570004417024
2.2492754667978784e-07,0.017713777891971594,0.3813187956767677,5.007541998663104,0.3399444144260803,-0.04220415783850662,3.0209315376598687,4.978995241952768,3.1584353401919225,-0.026027163490484853,4.0581906564162304,4.99624878004518,3.7778383578755026,3.365065857503035,3.6990681542187143,0.2202868169734165,5.0,-0.2672125809081314
2.2512754667978782e-07,0.015226674424452358,0.31027805859797086,5.006679503074638,0.2654357268775275,-0.044018412753338954,3.0821315825747337,4.9797029158696,3.261176950926436,-0.025559479665325402,3.8837416153744675,4.996468210509797,3.552836380679112,3.4463323884086927,3.471866026267622,0.15622997021419338,5.0,-0.2611417568746992
2.253275466797878e-07,0.013386650965554914,0.24189582080183822,5.00603478641472,0.19530315055994552,-0.046224146067454064,3.131631838410428,4.980220066952367,3.35889219345189,-0.024894506509651172,3.69705082316291,4.996693987055916,3.323459680188548,3.5179234407788997,3.2399078295535446,0.0957733874568828,5.0,-0.2549927782053108
2.255275466797878e-07,0.011984979061180567,0.17675755717931985,5.005532043862864,0.12993662415972382,-0.04875852891310306,3.1734383311304244,4.980614777755198,3.451722661697665,-0.024168639777034755,3.4994819444884713,4.996911258851409,3.0889266547540473,3.58216202985944,3.002340435549212,0.03894633466900199,5.0,-0.2491387325329733
2.257275466797878e-07,0.01067007637256423,0.11515652292447394,5.005016603955311,0.06918569796608284,-0.051307230706545304,3.210636811765632,4.981072809324797,3.5364894367096644,-0.02323340871641978,3.2924552338302147,4.997158717145918,2.8492051144620354,3.6398789682509443,2.7597106978836785,-0.01395868433535874,5.0,-0.24426208098129928
