bundle_rel_path,bundle_timestamp,circuit_name,circuit_stem,analysis_type,success,duration_ms,metric_row_count,metric_values,artifact_file_count,manifest_error_count,warning_count,error_count,first_error,data_point_count,signal_count,timestamp,x_axis_kind,analysis_command,result_file_path,has_metrics
03_cmos_ring_oscillator/2026-04-22_10-26-23_875617,2026-04-22_10-26-23_875617,03_cmos_ring_oscillator.cir,03_cmos_ring_oscillator,tran,True,31.05449676513672,2,"{""v_peak"": 4.777306, ""v_valley"": -0.09130884}",10,0,0,0,,2519,17,2026-04-22T10:26:23.875617,time,.tran 200p 500n uic,E:\Individual Project\circuit_design_ai\TestWork\comprehensive_circuits\03_cmos_ring_oscillator.cir,True
03_cmos_ring_oscillator/2026-04-22_15-51-55_204658,2026-04-22_15-51-55_204658,03_cmos_ring_oscillator.cir,03_cmos_ring_oscillator,tran,True,27.76312828063965,2,"{""v_peak"": 4.777306, ""v_valley"": -0.09130884}",10,0,0,0,,2519,17,2026-04-22T15:51:55.204658,time,.tran 200p 500n uic,E:\Individual Project\circuit_design_ai\TestCircuit\comprehensive_circuits\03_cmos_ring_oscillator.cir,True
03_diode_halfwave_rectifier/2026-04-22_10-27-23_765357,2026-04-22_10-27-23_765357,03_diode_halfwave_rectifier.cir,03_diode_halfwave_rectifier,tran,True,9.514331817626953,2,"{""v_peak"": 4.334792, ""v_avg"": 4.295822}",10,0,0,0,,1012,3,2026-04-22T10:27:23.765357,time,.tran 100u 100m,E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\03_diode_halfwave_rectifier.cir,True
03_diode_halfwave_rectifier/2026-04-22_15-51-56_397012,2026-04-22_15-51-56_397012,03_diode_halfwave_rectifier.cir,03_diode_halfwave_rectifier,tran,True,4.506826400756836,2,"{""v_peak"": 4.334792, ""v_avg"": 4.295822}",10,0,0,0,,1012,3,2026-04-22T15:51:56.397012,time,.tran 100u 100m,E:\Individual Project\circuit_design_ai\TestCircuit\transient_analysis\03_diode_halfwave_rectifier.cir,True
03_lt6201_non_inverting_amplifier/2026-04-22_10-27-07_464237,2026-04-22_10-27-07_464237,03_lt6201_non_inverting_amplifier.cir,03_lt6201_non_inverting_amplifier,ac,True,7.513284683227539,0,{},10,0,0,0,,151,10,2026-04-22T10:27:07.464237,frequency,.ac dec 30 1k 100Meg,E:\Individual Project\circuit_design_ai\TestWork\opamp_circuits\03_lt6201_non_inverting_amplifier.cir,False
03_lt6201_non_inverting_amplifier/2026-04-22_15-51-56_173128,2026-04-22_15-51-56_173128,03_lt6201_non_inverting_amplifier.cir,03_lt6201_non_inverting_amplifier,ac,True,3.0074119567871094,0,{},10,0,0,0,,151,10,2026-04-22T15:51:56.173128,frequency,.ac dec 30 1k 100Meg,E:\Individual Project\circuit_design_ai\TestCircuit\opamp_circuits\03_lt6201_non_inverting_amplifier.cir,False
03_nmos_self_biased_cs/2026-04-22_10-26-52_354909,2026-04-22_10-26-52_354909,03_nmos_self_biased_cs.cir,03_nmos_self_biased_cs,op,True,5.5179595947265625,0,{},12,0,0,0,,0,7,2026-04-22T10:26:52.354909,none,.op,E:\Individual Project\circuit_design_ai\TestWork\op_analysis\03_nmos_self_biased_cs.cir,False
03_nmos_self_biased_cs/2026-04-22_15-51-55_955589,2026-04-22_15-51-55_955589,03_nmos_self_biased_cs.cir,03_nmos_self_biased_cs,op,True,2.000570297241211,0,{},12,0,0,0,,0,7,2026-04-22T15:51:55.955589,none,.op,E:\Individual Project\circuit_design_ai\TestCircuit\op_analysis\03_nmos_self_biased_cs.cir,False
03_pmos_common_source/2026-04-22_10-24-00_338909,2026-04-22_10-24-00_338909,03_pmos_common_source.cir,03_pmos_common_source,ac,True,6.667375564575195,1,"{""av_midband"": -36.14907}",10,0,0,0,,161,9,2026-04-22T10:24:00.338909,frequency,.ac dec 20 1 100Meg,E:\Individual Project\circuit_design_ai\TestWork\ac_analysis\03_pmos_common_source.cir,True
03_pmos_common_source/2026-04-22_15-51-53_618563,2026-04-22_15-51-53_618563,03_pmos_common_source.cir,03_pmos_common_source,ac,True,3.501415252685547,1,"{""av_midband"": -36.14907}",10,0,0,0,,161,9,2026-04-22T15:51:53.618563,frequency,.ac dec 20 1 100Meg,E:\Individual Project\circuit_design_ai\TestCircuit\ac_analysis\03_pmos_common_source.cir,True
04_bjt_output_characteristics/2026-04-22_10-26-36_773049,2026-04-22_10-26-36_773049,04_bjt_output_characteristics.cir,04_bjt_output_characteristics,dc,True,8.633136749267578,0,{},10,0,0,0,,1005,3,2026-04-22T10:26:36.773049,sweep,.dc Vce 0 10 0.05 Ib 10u 50u 10u,E:\Individual Project\circuit_design_ai\TestWork\dc_analysis\04_bjt_output_characteristics.cir,False
04_bjt_output_characteristics/2026-04-22_15-51-55_796686,2026-04-22_15-51-55_796686,04_bjt_output_characteristics.cir,04_bjt_output_characteristics,dc,True,4.007101058959961,0,{},10,0,0,0,,1005,3,2026-04-22T15:51:55.796686,sweep,.dc Vce 0 10 0.05 Ib 10u 50u 10u,E:\Individual Project\circuit_design_ai\TestCircuit\dc_analysis\04_bjt_output_characteristics.cir,False
04_class_ab_power_amplifier/2026-04-22_10-26-26_120133,2026-04-22_10-26-26_120133,04_class_ab_power_amplifier.cir,04_class_ab_power_amplifier,tran,True,17.530441284179688,3,"{""v_out_pp"": 5.674899, ""v_out_max"": 3.503884, ""v_out_min"": -2.171014}",10,0,0,0,,714,15,2026-04-22T10:26:26.120133,time,.tran 10u 5m,E:\Individual Project\circuit_design_ai\TestWork\comprehensive_circuits\04_class_ab_power_amplifier.cir,True
04_class_ab_power_amplifier/2026-04-22_15-51-55_420346,2026-04-22_15-51-55_420346,04_class_ab_power_amplifier.cir,04_class_ab_power_amplifier,tran,True,13.03553581237793,3,"{""v_out_pp"": 5.674899, ""v_out_max"": 3.503884, ""v_out_min"": -2.171014}",10,0,0,0,,714,15,2026-04-22T15:51:55.420346,time,.tran 10u 5m,E:\Individual Project\circuit_design_ai\TestCircuit\comprehensive_circuits\04_class_ab_power_amplifier.cir,True
04_ltc6247_active_lowpass_amplifier/2026-04-22_10-27-09_702956,2026-04-22_10-27-09_702956,04_ltc6247_active_lowpass_amplifier.cir,04_ltc6247_active_lowpass_amplifier,ac,True,6.7424774169921875,0,{},10,0,0,0,,121,11,2026-04-22T10:27:09.702956,frequency,.ac dec 20 1 1Meg,E:\Individual Project\circuit_design_ai\TestWork\opamp_circuits\04_ltc6247_active_lowpass_amplifier.cir,False
04_ltc6247_active_lowpass_amplifier/2026-04-22_15-51-56_213387,2026-04-22_15-51-56_213387,04_ltc6247_active_lowpass_amplifier.cir,04_ltc6247_active_lowpass_amplifier,ac,True,2.4993419647216797,0,{},10,0,0,0,,121,11,2026-04-22T15:51:56.213387,frequency,.ac dec 20 1 1Meg,E:\Individual Project\circuit_design_ai\TestCircuit\opamp_circuits\04_ltc6247_active_lowpass_amplifier.cir,False
04_njf_self_bias/2026-04-22_10-26-54_349901,2026-04-22_10-26-54_349901,04_njf_self_bias.cir,04_njf_self_bias,op,True,7.215738296508789,0,{},12,0,1,0,,0,5,2026-04-22T10:26:54.349901,none,.op,E:\Individual Project\circuit_design_ai\TestWork\op_analysis\04_njf_self_bias.cir,False
04_njf_self_bias/2026-04-22_15-51-55_981239,2026-04-22_15-51-55_981239,04_njf_self_bias.cir,04_njf_self_bias,op,True,2.006053924560547,0,{},12,0,1,0,,0,5,2026-04-22T15:51:55.981239,none,.op,E:\Individual Project\circuit_design_ai\TestCircuit\op_analysis\04_njf_self_bias.cir,False
04_npn_pulse_switch/2026-04-22_10-27-25_647033,2026-04-22_10-27-25_647033,04_npn_pulse_switch.cir,04_npn_pulse_switch,tran,True,10.046243667602539,2,"{""v_col_low"": 0.03863915, ""v_col_high"": 5.027623}",10,0,0,0,,1089,6,2026-04-22T10:27:25.647033,time,.tran 50n 50u,E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\04_npn_pulse_switch.cir,True
04_npn_pulse_switch/2026-04-22_15-51-56_438687,2026-04-22_15-51-56_438687,04_npn_pulse_switch.cir,04_npn_pulse_switch,tran,True,5.012273788452148,2,"{""v_col_low"": 0.03863915, ""v_col_high"": 5.027623}",10,0,0,0,,1089,6,2026-04-22T15:51:56.438687,time,.tran 50n 50u,E:\Individual Project\circuit_design_ai\TestCircuit\transient_analysis\04_npn_pulse_switch.cir,True
04_pjf_common_source/2026-04-22_10-24-02_635629,2026-04-22_10-24-02_635629,04_pjf_common_source.cir,04_pjf_common_source,ac,True,5.514621734619141,1,"{""av_midband"": -1.197092}",10,0,1,0,,161,8,2026-04-22T10:24:02.635629,frequency,.ac dec 20 1 100Meg,E:\Individual Project\circuit_design_ai\TestWork\ac_analysis\04_pjf_common_source.cir,True
04_pjf_common_source/2026-04-22_15-51-53_663250,2026-04-22_15-51-53_663250,04_pjf_common_source.cir,04_pjf_common_source,ac,True,3.0646324157714844,1,"{""av_midband"": -1.197092}",10,0,1,0,,161,8,2026-04-22T15:51:53.663250,frequency,.ac dec 20 1 100Meg,E:\Individual Project\circuit_design_ai\TestCircuit\ac_analysis\04_pjf_common_source.cir,True
05_bjt_current_mirror/2026-04-22_10-26-56_562105,2026-04-22_10-26-56_562105,05_bjt_current_mirror.cir,05_bjt_current_mirror,op,True,6.521940231323242,0,{},12,0,0,0,,0,4,2026-04-22T10:26:56.562105,none,.op,E:\Individual Project\circuit_design_ai\TestWork\op_analysis\05_bjt_current_mirror.cir,False
05_bjt_current_mirror/2026-04-22_15-51-56_008319,2026-04-22_15-51-56_008319,05_bjt_current_mirror.cir,05_bjt_current_mirror,op,True,2.0096302032470703,0,{},12,0,0,0,,0,4,2026-04-22T15:51:56.008319,none,.op,E:\Individual Project\circuit_design_ai\TestCircuit\op_analysis\05_bjt_current_mirror.cir,False
