# artifact_type: raw_data
# circuit_file: amplifier circuit.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\cir\amplifier circuit.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:26:01.903172

Time (s),V(n001),V(n002),V(n003),V(n004),V(n005),V(xu1.ndrv),I(E.XU1.E1),I(V1),I(V2),I(V3)
0.0007656000000000006,-9.952886827264128e-06,9.95189162715423,12.0,-0.9952001108909331,-12.0,9.952886827264127,-0.0009952001098962882,-1.2e-11,0.0009951901580041059,-1.2e-11
0.0007856000000000007,-9.751742301007071e-06,9.750767213559774,12.0,-0.9750874482725084,-12.0,9.751742301007072,-0.0009750874472977955,-1.2e-11,0.0009750776965302074,-1.2e-11
0.0008056000000000007,-9.396806973254647e-06,9.39586737618148,12.0,-0.9395970741058186,-12.0,9.396806973254646,-0.0009395970731667092,-1.2e-11,0.0009395876772988453,-1.2e-11
0.0008256000000000008,-8.893678386153604e-06,8.8927890974617,12.0,-0.8892886927923948,-12.0,8.893678386153603,-0.0008892886919031895,-1.2e-11,0.0008892797991140086,-1.2e-11
0.0008456000000000008,-8.250291178076976e-06,8.249466222380242,12.0,-0.8249556975583202,-12.0,8.250291178076976,-0.0008249556967339089,-1.2e-11,0.0008249474472671421,-1.2e-11
0.0008656000000000009,-7.476791949637009e-06,7.476044336979587,12.0,-0.7476126581691034,-12.0,7.476791949637009,-0.0007476126574221809,-1.2e-11,0.0007476051813771537,-1.2e-11
0.0008856000000000009,-6.585379245732256e-06,6.584720766412356,12.0,-0.6584793205584059,-12.0,6.585379245732256,-0.0006584793199007066,-1.2e-11,0.0006584727351791602,-1.2e-11
0.000905600000000001,-5.590111177207426e-06,5.589552215837279,12.0,-0.5589613707060228,-12.0,5.590111177207426,-0.0005589613701468821,-1.2e-11,0.0005589557805948456,-1.2e-11
0.000925600000000001,-4.506683716047483e-06,4.506233087781803,12.0,-0.450628266130268,-12.0,4.506683716047483,-0.00045062826568020853,-1.2e-11,0.00045062375944655196,-1.2e-11
0.0009456000000000011,-3.3521831605231057e-06,3.3518479720388354,12.0,-0.3351884846053601,-12.0,3.3521831605231056,-0.0003351884842701658,-1.2e-11,0.0003351851324221996,-1.2e-11
