# artifact_type: raw_data
# circuit_file: 06_njf_source_follower.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\06_njf_source_follower.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:27:29.543802

Time (s),V(in),I(VIN),V(gate),V(sfollow),V(vdd),I(VDD)
0.0004128000000000004,0.052089044858832215,-5.1721967467624475e-08,0.0520719909853394,2.444421541712262,10.0,-0.0004888846583650519
0.0004228000000000004,0.046626312498992274,-4.624657899861273e-08,0.04660876878276712,2.4395658876194006,10.0,-0.000487913539712892
0.00043280000000000044,0.040979567385254684,-4.058841581236483e-08,0.04096158949405547,2.4345472896094615,10.0,-0.00048690983109445085
0.00044280000000000046,0.03517109464083101,-3.477020397990582e-08,0.03515273995653284,2.4293856072198734,10.0,-0.0004858775039799923
0.0004528000000000005,0.02922381765400471,-2.8814509315036596e-08,0.029205145046140066,2.4241012593349227,10.0,-0.00048482064249988355
0.0004628000000000005,0.023161207609990356,-2.274523204417317e-08,0.023142277203418913,2.4187151430898206,10.0,-0.00048374342566326334
0.00047280000000000054,0.01700719086088857,-1.658592889940136e-08,0.016988063798512407,2.413248550449822,10.0,-0.000482650112225258
0.00048280000000000057,0.010786054499305326,-1.0361303595489424e-08,0.01076679270076669,2.4077230838560655,10.0,-0.0004815450222590556
0.0004928000000000006,0.004522350508292895,-4.095526039398639e-09,0.004503016425606085,2.4021605702277418,10.0,-0.00048043252153640026
0.0005028000000000006,-0.0017592011341103033,2.1862798950237662e-09,-0.0017785447630278353,2.396582974724425,10.0,-0.00047931700267689337
0.0005128000000000006,-0.00803381001333985,8.459718545909128e-09,-0.008053100412265179,2.3910123135563692,10.0,-0.00047820286932775957
0.0005228000000000007,-0.014276713114745328,1.4699635850125986e-08,-0.014295887716898678,2.3854705672552683,10.0,-0.0004770945171976848
0.0005328000000000007,-0.020463272551896703,2.0881801366182118e-08,-0.02048226924686397,2.379979593688665,10.0,-0.0004759963182685567
0.0005428000000000007,-0.026569072801065702,2.6981421289047625e-08,-0.026587830179919694,2.3745610422187475,10.0,-0.00047491260203536
0.0005528000000000008,-0.03257001705814365,3.297481877394953e-08,-0.032588474655797325,2.3692362682924966,10.0,-0.00047384764000035773
0.0005628000000000008,-0.03844242233771851,3.883794504749849e-08,-0.03846052087155308,2.3640262498488336,10.0,-0.00047280562739437926
0.0005728000000000008,-0.04416311293899857,4.454805650234983e-08,-0.04418079454282539,2.3589515048087892,10.0,-0.00047179066822522486
0.0005828000000000008,-0.049709511909715544,5.008222241781324e-08,-0.049726720362147765,2.354032011032869,10.0,-0.00047080675770949654
0.0005928000000000009,-0.05505973014704061,5.541899736685729e-08,-0.05507641109337391,2.3492871279809653,10.0,-0.0004698577681843119
0.0006028000000000009,-0.06019265278387329,6.053692407255451e-08,-0.0602087539505994,2.344735521445304,10.0,-0.00046894743245928794
0.0006128000000000009,-0.06508802251957528,6.541619973314539e-08,-0.06510349392068236,2.340395090567891,10.0,-0.0004680793308153852
0.0006228000000000009,-0.0697265195662815,7.003717269332688e-08,-0.06974131370052644,2.33628289848433,10.0,-0.00046725687555593254
0.000632800000000001,-0.07408983789527628,7.438200132908745e-08,-0.07410390993365111,2.332415105787664,10.0,-0.0004664832992506973
0.000642800000000001,-0.07816075748252567,7.84331432787666e-08,-0.07817406544517748,2.3288069081184544,10.0,-0.00046576164070266657
0.000652800000000001,-0.08192321226824494,8.217500572019198e-08,-0.08193571719015177,2.3254724770457944,10.0,-0.00046509473469846796
0.000662800000000001,-0.08536235356229699,8.559242600444938e-08,-0.08537401964704522,2.3224249055197554,10.0,-0.0004644851995116994
0.0006728000000000011,-0.08846460864518846,8.867231227754901e-08,-0.08847540340624528,2.3196761570274327,10.0,-0.0004639354283195729
0.0006828000000000011,-0.09121773433339264,9.140211449168434e-08,-0.09122762872231563,2.317237019694275,10.0,-0.00046344757842575746
