# artifact_type: raw_data
# circuit_file: differential_amplifier.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\cir\differential_amplifier.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:26:08.046607

Time (s),V(m1#body diode),V(m1#gate),V(m2#body diode),V(m2#gate),V(n001),V(n002),V(n003),V(n004),V(n005),V(n006),V(n007),V(n008),I(V1),I(V2),I(V3)
0.01194559999999985,-1.6910600429665579,-0.004848941143061752,-1.6910600194304473,0.001764699070602338,12.0,-0.003351884846062572,-0.004848492160867311,-0.3981456582538868,-1.3721219042224355,0.001764169819656441,-1.6910600328811598,-12.0,-1.4966073148047392e-07,-0.0025770267562476327,-0.002577
0.011965599999999849,-1.6904610470663473,-0.0038998099737046765,-1.6904610200899286,0.0020316595498712092,12.0,-0.0021446258044726914,-0.0038992835763731063,-0.4477147422724163,-1.322561650200523,0.002031050234800769,-1.6904610353086769,-12.0,-1.7546577719004148e-07,-0.002577027639247294,-0.002577
0.011985599999999848,-1.6898548600281278,-0.002898415943602059,-1.6898548300985188,0.0022608693211101233,12.0,-0.000903544732808783,-0.0028978176617233844,-0.5039211184878759,-1.2663447998891186,0.002260191263731004,-1.6898548467232313,-12.0,-1.9942729289146017e-07,-0.0025770265918376996,-0.002577
0.012005599999999847,-1.6892500246676991,-0.0018600818541189973,-1.6892499922787243,0.0024494337613691075,12.0,0.000351785779042698,-0.0018594184928374332,-0.565861234027291,-1.204376260842107,0.0024486991516236203,-1.6892500099629253,-12.0,-2.2112042718801312e-07,-0.00257702374948694,-0.002577
0.012025599999999846,-1.6886547554793212,-0.0008001088323622146,-1.6886547211225005,0.002595194717356211,12.0,0.0016015684190121796,-0.0007993885452729291,-0.6325776912378992,-1.1376157682184314,0.0025944163924384797,-1.6886547395259408,-12.0,-2.400956964285109e-07,-0.0025770193459456335,-0.002577
0.012045599999999846,-1.6880769270243483,0.00026632640810736463,-1.6880768911851753,0.0026966613798015543,12.0,0.0028260933682833795,0.000267094107885484,-0.7030717708536448,-1.0670650825194379,0.00269585262401435,-1.6880769099972268,-12.0,-2.558999260397896e-07,-0.0025770136853373086,-0.002577
0.012065599999999845,-1.687524106778627,0.001324243448483045,-1.6875240699370417,0.0027529634405453196,12.0,0.004006049136910269,0.0013250477488994483,-0.7763120790407924,-0.9937590573704718,0.002752137799205558,-1.6875240888599266,-12.0,-2.6810013880108204e-07,-0.0025770071136411265,-0.002577
0.012085599999999844,-1.687003489083669,0.0023589564924542256,-1.6870034517176267,0.0027638753528871976,12.0,0.005122827117550457,0.002359785404968,-0.851240162445175,-0.9187598423363532,0.0027630464389555107,-1.687003470484291,-12.0,-2.763041712582457e-07,-0.0025770000004781534,-0.002577
0.012105599999999843,-1.6865218467198033,0.0033561826547707646,-1.686521809310479,0.0027298754600083436,12.0,0.006158815054318058,0.003357023192329361,-0.9267743515717309,-0.8431529133116129,0.002729056742985448,-1.6865218276644236,-12.0,-2.801791861988697e-07,-0.0025769927264883345,-0.002577
0.012125599999999842,-1.6860853906565592,0.004302190045541707,-1.6860853536940372,0.002652249099655196,12.0,0.007097674798581515,0.004303028439449446,-1.0018134281057198,-0.7680433792106349,0.002651453663556129,-1.686085371405531,-12.0,-2.7946463591320694e-07,-0.0025769856807316355,-0.002577
0.012145599999999842,-1.6856996860610316,0.005183938845524622,-1.6856996500490498,0.002533165257929515,12.0,0.007924599971325837,0.005184760797276836,-1.0752417240495251,-0.6945508423377404,0.0025324055362686343,-1.685699666894845,-12.0,-2.739839174049001e-07,-0.002576979256638727,-0.002577
0.01216559999999984,-1.685369536508104,0.0059892244186936505,-1.685369501966728,0.0023757133095741526,12.0,0.008626549468595805,0.005990015378920553,-1.1459372310741662,-0.6238012356602489,0.002375000809331353,-1.6853695177471721,-12.0,-2.6365340896752517e-07,-0.0025769738466734416,-0.002577
0.01218559999999984,-1.6850989837213486,0.00670677261332879,-1.6850989511861323,0.0021838325088132174,12.0,0.009192453127495169,0.006707518093838887,-1.2127839767673307,-0.5569142657477393,0.0021831775555465533,-1.6850989657065825,-12.0,-2.484935033656281e-07,-0.002576969824251507,-0.002577
