# artifact_type: raw_data
# circuit_file: 01_two_stage_bjt_ce_amplifier.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\comprehensive_circuits\01_two_stage_bjt_ce_amplifier.cir
# analysis_type: ac
# executor: spice
# timestamp: 2026-04-22T10:26:20.025230

Frequency (Hz),V(out)_mag,V(out)_phase,V(out)_real,V(out)_imag,V(in)_mag,V(in)_phase,V(in)_real,V(in)_imag,I(VIN)_mag,I(VIN)_phase,I(VIN)_real,I(VIN)_imag,V(b1)_mag,V(b1)_phase,V(b1)_real,V(b1)_imag,V(b2)_mag,V(b2)_phase,V(b2)_real,V(b2)_imag,V(c1)_mag,V(c1)_phase,V(c1)_real,V(c1)_imag,V(c2)_mag,V(c2)_phase,V(c2)_real,V(c2)_imag,V(e1)_mag,V(e1)_phase,V(e1)_real,V(e1)_imag,V(e2)_mag,V(e2)_phase,V(e2)_real,V(e2)_imag,V(vdd)_mag,V(vdd)_phase,V(vdd)_real,V(vdd)_imag,I(VDD)_mag,I(VDD)_phase,I(VDD)_real,I(VDD)_imag
3.5481338923357515,0.7944986678364462,-120.18568181980413,-0.39947706780822745,-0.6867650293144144,1.0,0.0,1.0,0.0,2.1704008824100207e-05,-102.36293754058865,-4.6469044736758204e-06,-2.120071408818937e-05,0.21412828008494766,76.76556286097153,0.049021669813008525,0.20844134959475333,0.22731472196148303,-6.585281376258984,0.22581495826613393,-0.026068898014502313,1.0615297634818068,-83.34680117367697,0.12298824621436166,-1.0543810174936081,1.0982619055603826,-163.8485634943685,-1.0549133012108807,-0.3055112766060929,0.20889452050988344,76.09495930390274,0.05020016124334542,0.20277293830833598,0.22176993763133113,-7.258445223287443,0.21999274821186934,-0.028019564079291976,0.0,0.0,0.0,0.0,0.0003462678192078377,-124.12177756085298,-0.00019424021147619315,-0.00028665683816130315
3.9810717055349687,1.0786022745514046,-121.84577360620449,-0.5691078868672338,-0.9162418238505464,1.0,0.0,1.0,0.0,2.4189540987195804e-05,-103.80369362572539,-5.771529224945476e-06,-2.3490920449757304e-05,0.23863079860113276,75.21868131147957,0.06088199763913428,0.23073370019241407,0.28752951938417487,-7.629192221072892,0.28498431581861255,-0.03817282088989338,1.2048512972241403,-82.84286796030838,0.15011352095897343,-1.1954633324564972,1.416016250816131,-162.23006001747908,-1.348457610821819,-0.43216211586866826,0.2327930671070215,74.46634190973195,0.06234300983503702,0.2242899044045511,0.28051182799353447,-8.384729133394586,0.27751350239034667,-0.04090405402056495,0.0,0.0,0.0,0.0,0.00042475048096965326,-126.03643866411906,-0.00024988055831483757,-0.000343471509240893
4.4668359215096265,1.4624371972728905,-123.44599096145986,-0.8060232700577605,-1.220265972684964,1.0,0.0,1.0,0.0,2.691642197834654e-05,-105.39404834829666,-7.145124898703963e-06,-2.595074107416467e-05,0.2655045988805729,73.50933093127436,0.07536592088313429,0.2545833262336146,0.36376833253151164,-8.866189101479334,0.35942166113320817,-0.056066650167472296,1.3700293071625698,-82.3693997042341,0.18192037690270407,-1.3578973742341243,1.8351718967853077,-160.61148874123086,-1.731097908791984,-0.6092256732333298,0.25900239845074696,72.66531323642565,0.07717049760729884,0.2472386634454275,0.3548829701543069,-9.7141607835343,0.3497945858905847,-0.05988046582297972,0.0,0.0,0.0,0.0,0.0005265054061523298,-127.87157212475098,-0.00032321830579785433,-0.000415617455726771
5.0118723362727176,1.981665916752924,-125.00631525411455,-1.136815789422957,-1.6231603945817756,1.0,0.0,1.0,0.0,2.9892218064871503e-05,-107.14269469689094,-8.810804963526488e-06,-2.8564215668078956e-05,0.29482040067914383,71.6272753872088,0.09292659228055072,0.2797922749179026,0.46017046071812123,-10.329169801691851,0.45271288328660814,-0.0825099886307946,1.5607689477853748,-81.94905307413343,0.21859128473538764,-1.5453858931052784,2.3915874979417246,-159.05127274259806,-2.2335053539579555,-0.8550699352405668,0.28759052071186375,70.68043259348508,0.09514549774415945,0.27139572926326067,0.4489188994955407,-11.28085851056795,0.4402458159430059,-0.08781685412814734,0.0,0.0,0.0,0.0,0.000659445189830942,-129.63776618161376,-0.00042068101117637347,-0.000507834072534318
5.623413251903484,2.685098089682394,-126.56197469994447,-1.599491291442543,-2.156705672968731,1.0,0.0,1.0,0.0,3.3118819696624396e-05,-109.05628766008861,-1.0813191279527243e-05,-3.130385139962609e-05,0.32659154668129126,69.56413624077588,0.11403226743504684,0.30603705714716967,0.5817828362681289,-12.051657695792137,0.5689601975017875,-0.12147247521523308,1.7812912532362486,-81.60697347958066,0.2600019435923017,-1.7622138117107673,3.1343434003682398,-157.61724833463333,-2.898204191556959,-1.193532997228654,0.31856913602768133,68.50197179211541,0.11674577861361829,0.29640633867264604,0.5675388790260196,-13.119714421761813,0.5527249355547756,-0.12882361903812503,0.0,0.0,0.0,0.0,0.0008342609409291512,-131.36054704247042,-0.0005512756203892164,-0.0006261681147459341
6.3095734448019245,3.6392477844202835,-128.16072966116323,-2.248580668992591,-2.861469799148818,1.0,0.0,1.0,0.0,3.659047892354113e-05,-111.13844357350145,-1.3195357596829796e-05,-3.412837068695039e-05,0.3607542283471832,67.31437385229653,0.1391337398607275,0.33284443168354044,0.7346368946429955,-14.065106520640981,0.7126126263282428,-0.17853462344393542,2.0363073086692225,-81.3690834344467,0.30558629707722196,-2.0132472452181136,4.130240856097061,-156.38267257465776,-3.7842985476032753,-1.6546824565399636,0.3518742608689141,66.12287814435773,0.14243042959101546,0.32175933271400753,0.7166198808281374,-15.263717476387148,0.6913406290412459,-0.1886589203695077,0.0,0.0,0.0,0.0,0.0010653371749112675,-133.07856276209074,-0.0007276258608093976,-0.0007781413129562676
7.07945784384137,4.934038163598409,-129.8578404216877,-3.1621508504117433,-3.7875499467447096,1.0,0.0,1.0,0.0,4.0291801412338196e-05,-113.38858906120356,-1.5994439144784816e-05,-3.6981173284457506e-05,0.3971471743943799,64.87641704625983,0.16861761742397666,0.35957471716418204,0.925760281633175,-16.39548984912302,0.8881153475781252,-0.26131059765291115,2.3309553989788614,-81.25980520496341,0.35419856214805234,-2.303887247805533,5.469429611631508,-155.42075450152453,-4.973827314454385,-2.2750169499542343,0.3873463021518134,63.53988387164858,0.17259172666259368,0.34676974158410717,0.9030064760999459,-17.740563262407385,0.8600649048065229,-0.2751527855548421,0.0,0.0,0.0,0.0,0.0013718981843564935,-134.83963387254877,-0.0009673595438714668,-0.0009727898751125193
7.943282347242804,6.689697610183222,-131.70940285494342,-4.451009551654146,-4.994053272320456,1.0,0.0,1.0,0.0,4.419598930598713e-05,-115.80073906073996,-1.9235982271000403e-05,-3.979023067041314e-05,0.4354937174314803,62.25386234947124,0.2027462173541928,0.38542022426289,1.1630928845887136,-19.059574948867155,1.0993316041555212,-0.37980927093179656,2.6707084583759944,-81.29953764598072,0.40399485561625753,-2.639975724562005,7.272219778745017,-154.79828472235275,-6.580008487840475,-3.096557574197114,0.424712433059359,60.75468251758187,0.20749323149031376,0.3705768606927686,1.1344266466110609,-20.56895032526457,1.0621070250014717,-0.39856302385411985,0.0,0.0,0.0,0.0,0.0017794024060452016,-136.695148099033,-0.0012948972504072313,-0.001220456485716408
8.912509381337442,9.064812323939226,-133.76517669425613,-6.270170330870583,-6.546433112016859,1.0,0.0,1.0,0.0,4.8263751297688885e-05,-118.36234169187276,-2.2927499453864516e-05,-4.247021848446518e-05,0.47539034075687475,59.456605693973444,0.24158899398756242,0.40942732452660635,1.455286823179121,-22.061501680507256,1.348732490479733,-0.5466080925517981,3.0612713488807137,-81.50236962582797,0.45235949830691935,-3.027664637269038,9.69705825851265,-154.56928147257898,-8.75746367978514,-4.164104797700522,0.46357526706694746,57.77503512445615,0.2471991599786733,0.39216655076896856,1.4192933646246682,-23.755183917355264,1.2990437858159123,-0.5717332397199529,0.0,0.0,0.0,0.0,0.0023211885645958844,-138.693666643351,-0.0017436563622137758,-0.001532181073803656
9.999999999999984,12.265455149439676,-136.0622332999758,-8.832279398291252,-8.510712699500331,1.0,0.0,1.0,0.0,5.244336693707052e-05,-121.05338502940009,-2.7052203487653832e-05,-4.492755303996414e-05,0.516306503090817,56.50171264514779,0.2849557852666386,0.43054919065879255,1.8113934550735,-25.39038228499013,1.6364260370256345,-0.7766956124684167,3.5084973169685774,-81.87455043739281,0.4958943979044361,-3.4732754237610792,12.9496059815405,-154.76974920604434,-11.714241090547524,-5.519859667571041,0.5034125057322008,54.61561220760495,0.2915055629026908,0.4104249721013068,1.7663945539534665,-27.290803256278092,1.5697786610431665,-0.8099041150469541,0.0,0.0,0.0,0.0,0.0030403703239255974,-140.87485308182528,-0.0023586266599967343,-0.0019185233867117942
