# artifact_type: raw_data
# circuit_file: 04_pjf_common_source.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\ac_analysis\04_pjf_common_source.cir
# analysis_type: ac
# executor: spice
# timestamp: 2026-04-22T10:24:02.635629

Frequency (Hz),V(out)_mag,V(out)_phase,V(out)_real,V(out)_imag,V(drain)_mag,V(drain)_phase,V(drain)_real,V(drain)_imag,V(in)_mag,V(in)_phase,V(in)_real,V(in)_imag,I(VIN)_mag,I(VIN)_phase,I(VIN)_real,I(VIN)_imag,V(gate)_mag,V(gate)_phase,V(gate)_real,V(gate)_imag,V(src)_mag,V(src)_phase,V(src)_real,V(src)_imag,V(vss)_mag,V(vss)_phase,V(vss)_real,V(vss)_imag,I(VSS)_mag,I(VSS)_phase,I(VSS)_real,I(VSS)_imag
9.999999999999984,0.8603143046929661,9.92892016254924,0.847428877595906,0.1483408247108144,0.8711421731716568,0.8858590835115312,0.8710380531109606,0.013468329922608959,1.0,0.0,1.0,0.0,9.998842076386016e-07,-179.08150768461002,-9.99755733355704e-07,-1.6028172306048732e-08,0.9998715176117178,0.9118235450803958,0.9997449037148765,0.01591160668480234,0.1332196950462156,109.48804469992041,-0.04444344391382291,0.12558768825520103,0.0,0.0,0.0,0.0,0.00019385031159733945,-178.71450211287046,-0.00019380152328907425,-4.34889379268098e-06
11.220184543019615,0.8625297909512255,8.863141283128725,0.8522304843963943,0.1328940997330278,0.87116387177615,0.7897667470678466,0.8710811127431599,0.012007768741555958,1.0,0.0,1.0,0.0,9.999104986079008e-07,-179.17988538725703,-9.998080685181476e-07,-1.431193041878144e-08,0.9998975691643094,0.8126779022902584,0.9997969895715527,0.014181976743583888,0.11997111340020125,107.4820769968817,-0.036040215942086444,0.11442976398355335,0.0,0.0,0.0,0.0,0.00019389759830659926,-178.85232231072595,-0.00019385870073164254,-3.883655456754218e-06
12.58925411794165,0.8643022324797699,7.909245843391995,0.8560803594463297,0.11893177556800043,0.8711816386401661,0.7040638915292874,0.8711158649615983,0.010705013590423636,1.0,0.0,1.0,0.0,9.999313919778737e-07,-179.26738814417104,-9.998496515492955e-07,-1.2785263374710137e-08,0.9999182644591643,0.7243100811516011,0.999838367083089,0.012640225775250102,0.10782597406845386,105.6629368162259,-0.02911060293446045,0.10382202791605964,0.0,0.0,0.0,0.0,0.00019393558279618046,-178.9757134701528,-0.0001939045933656556,-3.4668351841291142e-06
14.125375446227517,0.8657181971173964,7.056212837249623,0.8591613410489105,0.10634748171552055,0.8711961080164898,0.6276339899121162,0.8711438384096588,0.00954313491289088,1.0,0.0,1.0,0.0,9.99947995021262e-07,-179.34517494009492,-9.99882689784414e-07,-1.1428010173564858e-08,0.9999347044707467,0.6455492202399694,0.9998712370998031,0.011265985332355212,0.09675265667616759,104.01870891996174,-0.023437239278916094,0.09387104126874907,0.0,0.0,0.0,0.0,0.0001939660292430877,-179.08609094567439,-0.00019394135481093247,-3.0937670290991635e-06
15.848931924611104,0.8668480788325936,6.2938967652932005,0.8616232724286552,0.0950311958521723,0.8712078380126811,0.5594797722485539,0.8711663032396594,0.008507003848363077,1.0,0.0,1.0,0.0,9.999611883422487e-07,-179.41427643095463,-9.999089379564601e-07,-1.022222997325566e-08,0.9999477639709046,0.5753514339034905,0.9998973483867932,0.01004108358055446,0.08670129651253353,102.53662638940912,-0.018819701437681902,0.08463411637602636,0.0,0.0,0.0,0.0,0.00019399039056782329,-179.1847574037776,-0.0001939707537388989,-2.7601316309308467e-06
17.782794100389193,0.8677488465652293,5.613021799520996,0.8635881611793067,0.0848737214114579,0.8712173108213799,0.49871022705535245,0.871184308457952,0.007583097749387253,1.0,0.0,1.0,0.0,9.999716721868128e-07,-179.47560845542125,-9.999297908277765e-07,-9.151971984766648e-09,0.9999581379675428,0.5127861068514481,0.9999180903983822,0.008949311792998974,0.07761045706343063,101.20366653199531,-0.015079488688216005,0.07613141313870757,0.0,0.0,0.0,0.0,0.00019400985501419096,-179.27290455964936,-0.00019399423341306043,-2.46195960698511e-06
19.952623149688755,0.8684664293036373,5.005152560729833,0.8651548419420629,0.07576963964289099,0.8712249365300937,0.4445292667594292,0.871198715268887,0.006759330270554336,1.0,0.0,1.0,0.0,9.99980003327066e-07,-179.5299840674127,-9.999463569134596e-07,-8.20306951689444e-09,0.9999663786223222,0.4570236492369783,0.9999345670465309,0.007976214672905917,0.06941234273927153,100.00698385073461,-0.012061658949897795,0.06835634358221958,0.0,0.0,0.0,0.0,0.00019402538884390728,-179.35161719288206,-0.00019401296541016934,-2.195624918300133e-06
22.387211385683347,0.8690377433401436,4.4626502052325066,0.8664030534432369,0.06761914177187542,0.8712310593366316,0.39622572136595624,0.8712102268223687,0.006024901073551965,1.0,0.0,1.0,0.0,9.999866244343362e-07,-179.57812423749073,-9.999595171432938e-07,-7.362956072696613e-09,0.9999729245949596,0.407324562101045,0.9999476553450741,0.0071089023685601055,0.06203669034569312,98.93420785117755,-0.009634311031345946,0.061284019124064476,0.0,0.0,0.0,0.0,0.0001940377741796951,-179.4218787077008,-0.000194027896719945,-1.9578312094515746e-06
25.118864315095745,0.8694923892346542,3.978620127125179,0.8673969216013295,0.06032905878201986,0.8712359650228784,0.3531644301078096,0.8712194144484564,0.005370161769872586,1.0,0.0,1.0,0.0,9.999918874669496e-07,-179.6206673564337,-9.999699715288465e-07,-6.620501515010226e-09,0.9999781243648489,0.36302967685065635,0.9999580520230277,0.006335882144824235,0.055413549459171076,97.9736342260133,-0.007686823229425444,0.05487781165738632,0.0,0.0,0.0,0.0,0.00019404764173124554,-179.4845776382774,-0.00019403979015788117,-1.7455935790614298e-06
28.183829312644473,0.8698540559624597,3.5468557323905583,0.8681878852893825,0.05381333023603034,0.8712398887874034,0.314778270063462,0.8712267404485919,0.004786495754630472,1.0,0.0,1.0,0.0,9.999960722898438e-07,-179.65817766062494,-9.999782762803081e-07,-5.965866456609289e-09,0.9999822547642048,0.32355144547965903,0.9999663105702968,0.005646907802664056,0.04947517588206136,97.11433530581526,-0.006127488293774179,0.04909426560985067,0.0,0.0,0.0,0.0,0.00019405549857461174,-179.54051463435633,-0.0001940492584719781,-1.5562176957559836e-06
31.622776601683718,0.8701416725204881,3.1617813463347684,0.8688171231192771,0.04799309149758388,0.8712430228258129,0.2805610042474469,0.8712325776008089,0.004266210228103446,1.0,0.0,1.0,0.0,9.999994014973127e-07,-179.69115268626533,-9.99984873321573e-07,-5.390373180176296e-09,0.9999855357046765,0.2883661703768187,0.9999728706764892,0.005032845079068017,0.044157245052856876,96.3462115645098,-0.004880962965535076,0.04388665504668963,0.0,0.0,0.0,0.0,0.00019406175139869344,-179.59040958291322,-0.00019405679276061715,-1.3872776907264913e-06
35.481338923357455,0.8703703459620923,2.8183962869287082,0.8693175471932659,0.04279651004528566,0.8712455232969877,0.2500608583881765,0.8712372256291621,0.0038024390912016564,1.0,0.0,1.0,0.0,1.0000020522141399e-06,-179.72002984780806,-9.999901137562081e-07,-4.886391545620532e-09,0.9999881418784506,0.25700707375069476,0.9999780816228484,0.0044855514046725055,0.039399561307868904,95.66000160362712,-0.0038857846342345392,0.03920747516773896,0.0,0.0,0.0,0.0,0.00019406672574425393,-179.63490862221968,-0.00019406278591408313,-1.2365938541852174e-06
39.81071705534962,0.8705521214032407,2.5122213922147902,0.8697154291323194,0.03815846444589249,0.8712475164992642,0.22287475203043677,0.8712409249501708,0.0033890556363876754,1.0,0.0,1.0,0.0,1.0000041654939366e-06,-179.74519222531538,-9.999942765211249e-07,-4.447238493318715e-09,0.9999902120549,0.2290581169309701,0.9999822208681061,0.003997768539327381,0.03514640473218478,95.0472640292433,-0.0030920923614104305,0.03501012325638183,0.0,0.0,0.0,0.0,0.00019407068178939164,-179.6745908846351,-0.00019406755179952024,-1.1022108418210096e-06
44.66835921509619,0.8706965952239962,2.239248761328367,0.8700317187119115,0.03402013183185619,0.8712491042061847,0.19864312005478194,0.8712438680365834,0.003020594102487185,1.0,0.0,1.0,0.0,1.0000058538087434e-06,-179.7669736356326,-9.999975832128386e-07,-4.067089897665226e-09,0.9999918564665307,0.20414848910953487,0.9999855088149064,0.003563026742976583,0.03134662549253274,94.50034123855157,-0.0024596140069441212,0.031249979659288545,0.0,0.0,0.0,0.0,0.0001940738272139928,-179.70997486546824,-0.00019407134086517897,-9.823768514379644e-07
50.11872336272709,0.8708114082048395,1.9958951005327705,0.8702831085145157,0.030328529374290033,0.8712503681889224,0.17704526785594196,0.8712462087378978,0.002692179260776514,1.0,0.0,1.0,0.0,1.0000072070244496e-06,-179.78566305337193,-1.000000209870291e-06,-3.740903662795975e-09,0.9999931626767145,0.1819476935086678,0.9999881205411947,0.003175559268378171,0.027953568356406625,94.0123124017548,-0.00195593467609531,0.027885055198065247,0.0,0.0,0.0,0.0,0.00019407632762752575,-179.74152436032963,-0.0001940743527698319,-8.755240473858261e-07
56.234132519034745,0.8709026410853293,1.7789588148735676,0.8704828905630203,0.027036040509857234,0.8712513739941443,0.15779520880898884,0.8712480698760149,0.0023994632739354426,1.0,0.0,1.0,0.0,1.0000082971774526e-06,-179.80150843931125,-1.0000022963380856e-06,-3.464353085977888e-09,0.9999942002411408,0.16216116656552174,0.9999901951200534,0.002830226082203367,0.024924888126827572,93.57694080824804,-0.0015550351015415735,0.024876332405880167,0.0,0.0,0.0,0.0,0.00019407831498653968,-179.76965394559397,-0.00019407674656527168,-7.802503789323607e-07
63.09573444801914,0.8709751312086361,1.5855808198550734,0.8706416437199515,0.024099946151852816,0.8712521740654979,0.14063793711459519,0.8712495494035719,0.002138569131376062,1.0,0.0,1.0,0.0,1.0000091823051062e-06,-179.81472002632051,-1.0000039537064185e-06,-3.2337696359661244e-09,0.9999950244108883,0.14452637256396872,0.999991843023512,0.0025224458314996603,0.022222299615598136,93.18861915029215,-0.001236074978428413,0.022187895773441796,0.0,0.0,0.0,0.0,0.00019407989436650923,-179.79473399891518,-0.00019407864888046548,-6.95302846517728e-07
70.79457843841358,0.8710327255883686,1.4132089414850262,0.8707677841149947,0.02148197368410267,0.8712528103007621,0.12534609307954167,0.871250725376121,0.0019060400202502916,1.0,0.0,1.0,0.0,1.0000099095327566e-06,-179.82547310599193,-1.0000052702223961e-06,-3.046094408285481e-09,0.9999956790741009,0.12880932229001585,0.9999931520041097,0.0022481351734059056,0.019811292824666347,92.84231514082597,-0.0009823907637895135,0.01978692072486008,0.0,0.0,0.0,0.0,0.000194081149395685,-179.81709527156414,-0.00019408016048380963,-6.195622074465674e-07
