# artifact_type: raw_data
# circuit_file: 02_cmos_nand_gate.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\mosfet\02_cmos_nand_gate.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:24:47.370353

Time (s),V(out),V(a),V(b),V(mid),V(mna#body diode),V(mna#gate),V(mnb#body diode),V(mnb#gate),V(mpa#body diode),V(mpa#gate),V(mpb#body diode),V(mpb#gate),V(vdd),I(VA),I(VB),I(VDD)
6.037941004271777e-06,0.07376177321112432,5.0,3.794100427177663,0.0635803075023748,0.06318793310657884,4.991245981485968,0.00013970222952839825,3.73092229766561,4.99917044776047,5.000798050557845,4.99917044776047,3.787348193970784,5.0,-0.002651989318728898,-0.02331012090631024,0.0029869734801681123
6.0383588777142015e-06,0.06683579980702006,5.0,3.835887771420138,0.05840379922750123,0.058036410452826044,4.991519732511945,-0.0015760586358727104,3.7726451207559184,5.000392392174933,4.9989813595768915,5.000392392174933,3.8273734881360206,5.0,-0.00316630263705453,-0.023918977982778866,0.000882059639981803
6.038882774118641e-06,0.06437819862409896,5.0,3.8882774118640664,0.05666859051601776,0.05666477461916507,4.994379519482572,0.0003586249357374928,3.8262298013646774,4.999538985457055,5.000744386138948,4.999538985457055,3.8815066573993238,5.0,-0.0016253647928268222,-0.022939454988044172,0.0029742038544570315
6.039523197762026e-06,0.05744412824866643,5.0,3.9523197762025966,0.05171084741910245,0.0512808503092478,4.9946066086372705,-0.0012652149724685126,3.890263560939149,5.000195500315928,4.999111105860993,5.000195500315928,3.943992141059155,5.0,-0.0020940951672454577,-0.023461283468963146,0.0009287058363965967
6.0403082804788124e-06,0.05561545754708743,5.0,4.030828047881229,0.05027598871259339,0.0504728043599963,4.997224275929887,0.0005441723198958293,3.9698234567703587,4.9997646302432885,5.000728563114026,4.9997646302432885,4.0240938612252215,5.0,-0.000682386985362049,-0.022579592588959585,0.002992679697460976
6.041397911881922e-06,0.04933314155985003,5.0,4.13979118819221,0.045881140174644744,0.04547304775703625,4.997240888951815,-0.001001276150176652,4.078733431022941,5.00009942964475,4.999199748171808,5.00009942964475,4.1316156554486625,5.0,-0.001186454292125383,-0.023077763304272247,0.0009569257136284746
6.0425762421148335e-06,0.048959730723290955,5.0,4.257624211483334,0.04541434971925359,0.04572684290700548,4.999302227872539,0.000681871862279782,4.197382971207993,4.9998973170637795,5.000726208575871,4.9998973170637795,4.250956985767573,5.0,9.478816136665458e-06,-0.022302821997033817,0.0030102277332942776
6.044883472786324e-06,0.043846536372089615,5.0,4.488347278632393,0.04188931354100068,0.04150722849018581,4.998892565228283,-0.0008344665957945837,4.4279117820569684,5.000051604218976,4.999251999421824,5.000051604218976,4.4803111935004685,5.0,-0.0006184784499640994,-0.022823860569116228,0.0009732076316169891
6.047480514372003e-06,0.04479534492551731,5.0,4.748051437200269,0.04231025047662746,0.04267703960918595,5.000390908368523,0.0007554952791091905,4.688208534617669,4.999957379659907,5.000727735102798,4.999957379659907,4.741500664978201,5.0,0.00037288115710687464,-0.022131224934889726,0.0030199042785322493
6.05e-06,0.041884819709943,5.0,4.999999999999952,0.040402643351538425,0.040017916082912906,4.999287174830869,-0.0007813257359763691,4.939716590780707,5.000016258845324,4.9992737592713095,5.000016258845324,4.992083790325872,5.0,-0.000479688632607278,-0.022733206297774755,0.0009772547310450135
6.0500373403543325e-06,0.0416144157872694,4.996265964566714,5.0,0.03964248907652937,0.03971669037730072,4.997804156446772,-0.0010814519918597928,4.942156809510939,4.9999414318905915,4.997931028233927,4.9999414318905915,4.99447051626714,5.0,0.0010677518490904703,-0.02112422474064024,0.0007200299569928015
6.050112021062998e-06,0.0382727679458594,4.9887978937001405,5.0,0.03660344178090849,0.03642029834802967,4.993232995243987,-0.0025686354065770807,4.946346206882812,4.999261510901249,4.993153429251482,4.999261510901249,4.997154236824054,5.0,0.0029302123650625234,-0.018833185431044397,-0.0010772018665247474
6.05026138248033e-06,0.029051620965974273,4.973861751966994,5.0,0.028890793713588683,0.028049860456795445,4.982033483721675,-0.004382027543212465,4.953166943771404,4.999345884874638,4.979898943328903,4.999345884874638,4.998830463572598,5.0,0.0047363077055300185,-0.016000864218665978,-0.0023238652867333927
6.0503153833746485e-06,0.025687836345370488,4.968461662535116,5.0,0.02610641522805435,0.025208161553188044,4.977799598613165,-0.00446031332551888,4.9553345845467645,4.999286955371845,4.974722995757659,4.999286955371845,4.99905496223276,5.0,0.005199756433530878,-0.015203484406824952,-0.002316909235339841
6.050381576599413e-06,0.021341029173359827,4.961842340058686,5.0,0.022591434572767848,0.021568081192501972,4.972408247063241,-0.004588168518018368,4.957768666174301,4.999256821916919,4.968148592267868,4.999256821916919,4.999100362842167,5.0,0.005624053071245694,-0.014376990327843675,-0.0024626509557687656
6.050455049183131e-06,0.016750030541879814,4.95449508168688,5.0,0.018852306637253492,0.01781703629698543,4.966444724172976,-0.0045420669442804516,4.960296798624634,4.999327060372996,4.9608992201021795,4.999327060372996,4.999198941499766,5.0,0.00611792696713187,-0.01350141995853349,-0.002394937317398116
6.050601994350567e-06,0.007609521061095093,4.939800564943268,5.0,0.011577944402095693,0.010444680155890885,4.954264787819282,-0.0044148764098531626,4.964779926611171,4.999290795090918,4.946239133685258,4.999290795090918,4.999233785930688,5.0,0.006967597206001486,-0.011995429152713566,-0.0024785250173309085
6.050741295658668e-06,-0.0005335607011294009,4.925870434133169,5.0,0.0051451385645400975,0.004034289036952394,4.942662518695114,-0.004159645259741034,4.968472698877843,4.999390209830973,4.932376230212968,4.999390209830973,4.999301811187261,5.0,0.007765960213914624,-0.010741829978298423,-0.0023791006137461332
