# artifact_type: raw_data
# circuit_file: 04_npn_pulse_switch.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\04_npn_pulse_switch.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:27:25.647033

Time (s),V(in),I(VIN),V(base),V(col),V(vdd),I(VDD)
3.0001260028003273e-05,0.06300140016376034,-6.236017295404363e-06,0.0006412272097167064,5.000397174287659,5.0,3.971742876590287e-07
3.0002940065340972e-05,0.14700326704871763,-1.4423449063154284e-05,0.0027687764171747957,5.001557091956404,5.0,1.5570919564044175e-06
3.0005180229394158e-05,0.2590114697080284,-2.5121677425743646e-05,0.007794695450591957,5.003561817981916,5.0,3.5618179819165915e-06
3.000966055750053e-05,0.48302787502665,-4.582225262640261e-05,0.02480534876262395,5.007753070626717,5.0,7.753070626717248e-06
3.0018621213713275e-05,0.9310606856638932,-8.468365884581203e-05,0.08422409720577292,5.0155011956756175,5.0,1.5501195675617432e-05
3.003654252613876e-05,1.8271263069382102,-0.00015419524608897367,0.2851738460484736,5.027622970339586,5.0,2.7622970339585308e-05
3.0067453477156442e-05,3.372673857822238,-0.0002718864704649085,0.6538091531731531,4.327038050587827,5.0,-0.0006729619494121727
3.0099999999999996e-05,4.999999999999952,-0.00042967367890248023,0.7032632109751498,0.9542109344418905,5.0,-0.0040457890655581094
3.0102371985485614e-05,5.0,-0.00042955823850475465,0.7044176149524537,0.7157248110225466,5.0,-0.004284275188977453
3.0107115956456847e-05,5.0,-0.00042933917306372437,0.7066082693627564,0.31247528107227784,5.0,-0.004687524718927722
3.0116603898399313e-05,5.0,-0.0004292256357110143,0.7077436428898569,0.15914625244374236,5.0,-0.004840853747556257
3.0135579782284244e-05,5.0,-0.0004292098237328964,0.7079017626710359,0.12680587614776295,5.0,-0.0048731941238522375
3.016593811939873e-05,5.0,-0.0004291623826089261,0.7083761739107389,0.10770639417235912,5.0,-0.004892293605827641
3.021593811939873e-05,5.0,-0.00042913286504675594,0.7086713495324407,0.092154838617681,5.0,-0.004907845161382319
3.026593811939873e-05,5.0,-0.00042908185307659113,0.709181469234089,0.08329945163044084,5.0,-0.004916700548369559
3.0315938119398733e-05,5.0,-0.00042906010873008417,0.7093989126991583,0.0769433076190932,5.0,-0.004923056692380907
