# artifact_type: raw_data
# circuit_file: 05_lt1001_two_stage_amplifier.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\opamp_circuits\05_lt1001_two_stage_amplifier.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:27:11.885749

Time (s),V(out),V(in),V(inv2),I(VIN),V(fb1),V(stage1),V(vcc),V(vee),V(xu1.ndrv),V(xu2.ndrv),I(E.XU1.E1),I(E.XU2.E1),I(VCC),I(VEE)
0.0018456000000000034,0.1649898192070583,-0.016499113951166208,-1.650228173523918e-07,0.0,-0.0164990809348554,-0.03299816186879248,15.0,-15.0,-0.033016310808307026,0.1650228173523918,1.8148939514545104e-05,-3.299814533350154e-05,-3e-11,3e-11
0.0018656000000000035,0.14952133511404458,-0.014952253163381857,-1.4955123954554383e-07,0.0,-0.014952223242487971,-0.029904446484296368,15.0,-15.0,-0.02992089388499153,0.14955123954554383,1.6447400695160375e-05,-2.990443149925026e-05,-3e-11,3e-11
0.0018856000000000035,0.13169481025158317,-0.013169586411167866,-1.317211493585004e-07,0.0,-0.013169560057561274,-0.02633912011569586,15.0,-15.0,-0.026353606592238066,0.1317211493585004,1.4486476542206056e-05,-2.6339106917239175e-05,-3e-11,3e-11
0.0019056000000000036,0.11179137954856441,-0.011179227414120195,-1.1181373794744687e-07,0.0,-0.011179205043413016,-0.02235841008619842,15.0,-15.0,-0.022370707178197335,0.11181373794744687,1.229709199891682e-05,-2.2358398882454944e-05,-3e-11,3e-11
0.0019256000000000037,0.09012493200894459,-0.009012565322605063,-9.01429570944856e-08,0.0,-0.009012547287596713,-0.01802509457333743,15.0,-15.0,-0.018035008348306292,0.09014295709448561,9.9137749688602e-06,-1.8025085541023556e-05,-3e-11,3e-11
0.0019456000000000037,0.0670371604696375,-0.006703769692106889,-6.705056797547364e-08,0.0,-0.006703756277220222,-0.013407512554609069,15.0,-15.0,-0.013414886666396342,0.06705056797547364,7.3741117872731105e-06,-1.3407505836143807e-05,-3e-11,3e-11
0.0019656000000000035,0.04289217284833377,-0.004289251608926354,-4.290075133008568e-08,0.0,-0.004289243025722148,-0.00857848605056835,15.0,-15.0,-0.00858320420502423,0.04290075133008568,4.7181544558811545e-06,-8.578481751911338e-06,-3e-11,3e-11
0.0019856000000000036,0.018070750046719156,-0.0018070894655982696,-1.8074364216606687e-08,0.0,-0.0018070858494387818,-0.0036141716985808913,15.0,-15.0,-0.0036161594875920855,0.018074364216606686,1.987789011194223e-06,-3.614169887530133e-06,-3e-11,3e-11
0.0020056000000000036,-0.007035659279384591,0.0007035715581052213,7.037066418979833e-09,0.0,0.0007035701501909959,0.0014071403003566207,15.0,-15.0,0.0014079142254104227,-0.007037066418979833,-7.739250538019247e-07,1.4071395952426277e-06,-3e-11,3e-11
0.0020256000000000037,-0.03203111205836636,0.003203136838044116,3.2037518316012896e-08,0.0,0.0032031304282598254,0.006406260856695251,15.0,-15.0,0.006409784290553944,-0.0320375183160129,-3.5234338586929634e-06,6.406257646536517e-06,-3e-11,3e-11
0.0020456000000000038,-0.05652141506619662,0.005652186736585823,5.653271941138455e-08,0.0,0.005652175426017594,0.011304350852502618,15.0,-15.0,0.01131056822850951,-0.05653271941138455,-6.217376006891623e-06,1.1304345187923559e-05,-3e-11,3e-11
0.002065600000000004,-0.08012034158606612,0.00801209827383891,8.013636574251731e-08,0.0,0.008012082240861163,0.016024164480852116,15.0,-15.0,0.016032977747272525,-0.08013636574251731,-8.813266420409915e-06,1.602415645118871e-05,-3e-11,3e-11
0.002085600000000004,-0.10245572247410696,0.010245654235118012,1.0247621373130513e-07,0.0,0.01024563373258038,0.02049126746627787,15.0,-15.0,0.02050253763263754,-0.10247621373130512,-1.127016635966982e-05,2.0491257198163026e-05,-3e-11,3e-11
0.002105600000000004,-0.12317531540900545,0.012317630108652135,1.2319995060758255e-07,0.0,0.012317605459891886,0.024635210921741816,15.0,-15.0,0.024648760250784107,-0.12319995060758256,-1.354932904229153e-05,2.4635198577108164e-05,-3e-11,3e-11
0.002125600000000004,-0.14195236003012854,0.014195349597177278,1.41980750658285e-07,0.0,0.014195321190920084,0.028390642382926497,15.0,-15.0,0.02840625719363743,-0.141980750658285,-1.5614810710933014e-05,2.839062815646054e-05,-3e-11,3e-11
0.002145600000000004,-0.15849073113876494,0.015849199942664097,1.5852242945933566e-07,0.0,0.015849168226893605,0.03169833645466834,15.0,-15.0,0.03171577049215557,-0.15852242945933567,-1.7434037487232268e-05,3.1698320570733296e-05,-3e-11,3e-11
0.002165600000000004,-0.1725296087442836,0.017253098937202,1.7256411485581848e-07,0.0,0.017253064412094857,0.03450612882579455,15.0,-15.0,0.03452510714487289,-0.1725641148558185,-1.8978319078342964e-05,3.4506111534882145e-05,-3e-11,3e-11
0.002185600000000004,-0.18384759134979983,0.018384906254998487,1.8388436107030582e-07,0.0,0.018384869465036258,0.03676973893119325,15.0,-15.0,0.03678996223243303,-0.1838843610703058,-2.0223301239775948e-05,3.6769720505980263e-05,-3e-11,3e-11
0.002205600000000004,-0.192266187598237,0.019226772618543005,1.923046410472533e-07,0.0,0.019226734143925367,0.03845346828521665,15.0,-15.0,0.03847461763507454,-0.19230464104725328,-2.1149349857883804e-05,3.845344901629022e-05,-3e-11,3e-11
0.0022256000000000042,-0.19765263123948107,0.019765421292375848,1.976921619831508e-07,0.0,0.019765381739870507,0.03953076347849059,15.0,-15.0,0.039552505339088384,-0.1976921619831508,-2.174186059779315e-05,3.953074366971898e-05,-3e-11,3e-11
