# artifact_type: raw_data
# circuit_file: 01_nmos_low_side_switch.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\mosfet\01_nmos_low_side_switch.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:24:43.854593

Time (s),V(drain),I(VIN),V(gate),V(m1#body diode),V(m1#gate),V(n1),V(vdd),I(LLOAD),I(VDD)
5.180153032339771e-06,6.518068500881505,0.03628812055025277,0.9923483830114215,0.022964807325766116,1.1012127446621798,6.030967325823433,10.0,0.039690326741765675,-0.039690326741765675
5.199590495016029e-06,45.626954742856086,0.030166118429198297,0.02047524919850563,0.045121194171536136,0.11097360448610052,6.069885179529884,10.0,0.03930114820470116,-0.03930114820470117
5.199999999999999e-06,46.72503598172921,0.03443613391284132,0.0,0.019382760653731346,0.10330840173852396,6.071527511103485,10.0,0.039284724888965145,-0.03928472488896515
5.200097804525686e-06,46.98003122169226,0.03258215432638689,0.0,0.02923609045087705,0.09774646297916068,6.0719276108705245,10.0,0.03928072389129476,-0.03928072389129476
5.200293413577059e-06,47.50110682023871,0.031056252417223835,0.0,0.032297114386063974,0.09316875725167151,6.072732898883697,10.0,0.03927267101116303,-0.03927267101116304
5.200684631679805e-06,48.55368332143517,0.030023117082024875,0.0,0.029857107394736904,0.09006935124607462,6.074374209111809,10.0,0.0392562579088819,-0.03925625790888191
5.201467067885296e-06,50.669885385822774,0.029007384102869366,0.0,0.031446956007298965,0.0870221523086081,6.077780600446655,10.0,0.03922219399553345,-0.03922219399553346
5.202619591902341e-06,53.81734410215844,0.029263159618673724,0.0,0.0289925981285587,0.08778947885602117,6.083101017112991,10.0,0.039168989828870085,-0.03916898982887009
5.204051258871176e-06,57.76273440991356,0.02924870174619021,0.0,0.029995500213401693,0.08774610523857063,6.090216885895133,10.0,0.039097831141048665,-0.03909783114104867
5.206828332245152e-06,65.52155630418021,0.02973818762663294,0.0,0.026990056311117172,0.08921456287989882,6.105641922215278,10.0,0.03894358077784722,-0.03894358077784723
5.212382478993105e-06,81.34590848354136,0.02995250887496751,0.0,0.026336344809415435,0.08985752662490254,6.143026549703815,10.0,0.038569734502961854,-0.038569734502961854
5.223490772489012e-06,113.65624027703866,0.030359270400272826,0.0,0.02107050365361937,0.09107781120081848,6.244453416585049,10.0,0.03755546583414951,-0.03755546583414951
5.245707359480824e-06,177.7272556073418,0.028825315943182973,0.0,0.01753049386549231,0.08647594782954893,6.553913953697983,10.0,0.03446086046302017,-0.034460860463020174
5.290140533464449e-06,287.3901456737217,0.02144593850133586,0.0,0.008667923490265135,0.06433781550400758,7.555898885955598,10.0,0.024441011140444027,-0.02444101114044403
5.373806758529782e-06,367.4926970838215,-0.0018920089190173812,0.0,-0.0001427814439889305,-0.005676026757052144,10.221110886603498,10.0,-0.002211108866034976,0.0022111088660349693
5.4629947081297476e-06,249.15536928375067,-0.02477602965008749,0.0,-0.012060671976560366,-0.07432808895026247,12.868026080601958,10.0,-0.028680260806019577,0.02868026080601957
5.550462470885611e-06,25.271413833010474,-0.03024539259532702,0.0,-0.02733394254047289,-0.09073617778598106,13.950911295986547,10.0,-0.03950911295986547,0.03950911295986548
5.617349413360336e-06,-0.6968704884865726,-0.007602260563119545,0.0,-0.09644625478941793,-0.022806781689358638,13.939820809641581,10.0,-0.03939820809641581,0.03939820809641581
5.6650404589831604e-06,-0.7440973889605818,0.006963057375006657,0.0,-0.13649435538512011,0.02088917212501997,13.87007060638798,10.0,-0.038700706063879806,0.03870070606387979
5.6913577334026246e-06,-0.6974895660693246,-0.005905563692899395,0.0,-0.09685020088570873,-0.017716691078698187,13.831721890660436,10.0,-0.038317218906604354,0.03831721890660436
5.710575077639145e-06,-0.7354368222072909,0.00471518058496063,0.0,-0.129606387687701,0.01414554175488189,13.803790980477109,10.0,-0.038037909804771085,0.03803790980477109
5.726831748280283e-06,-0.7020470947896269,-0.0035727856480547264,0.0,-0.10050114316826397,-0.01071835694416418,13.780201351432204,10.0,-0.03780201351432205,0.03780201351432205
5.742600147196694e-06,-0.7279607871395117,0.002675466858504308,0.0,-0.12353354386972559,0.008026400575512925,13.757362739906489,10.0,-0.037573627399064884,0.03757362739906489
