# artifact_type: raw_data
# circuit_file: 04_class_ab_power_amplifier.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\comprehensive_circuits\04_class_ab_power_amplifier.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:26:26.120133

Time (s),V(out),V(in),I(VIN),V(b1),V(b2),V(c2),V(c3),V(e3),V(np),V(pp),V(tail),V(vdd),V(vss),I(VDD),I(VSS)
0.004031548479089914,3.40762583614748,0.05907880260531142,-2.7454353362436884e-05,0.03162444924287454,0.2828910937963966,3.684087018861875,4.322744060642631,4.396886939904271,3.683903654225957,3.0450632478092596,-0.3710364549730869,12.0,-12.0,-0.43189267532805786,0.005837997023290715
0.004041548479089913,3.4038892140566803,0.07743050479572317,2.601163881226511e-05,0.10344214360798827,0.32340828653426207,3.6919858928180127,4.332527082673801,4.4067604387756525,3.6939038592726896,3.0552806358715707,-0.3319420538885216,12.0,-12.0,-0.4314919964140671,0.005831794795705731
0.004051548479089913,3.407571331761215,0.09547662415833895,-2.7714847528452176e-05,0.06776177662988678,0.2829826216402243,3.684010612953689,4.322688277639109,4.396816718526831,3.683848597754846,3.0450089178705784,-0.37094723491766424,12.0,-12.0,-0.4318859705174134,0.005837962778330982
0.004061548479089913,3.404042444717702,0.11314594090452222,2.5556915194820438e-05,0.13870285609934266,0.3233283418263753,3.692215833671441,4.332686348624726,4.40697502739959,3.69406203273682,3.0554377168489055,-0.3320055419746706,12.0,-12.0,-0.4315110783743705,0.005831861378340479
0.004071548479089912,3.407909955884579,0.13036872231341784,-2.7962398392462006e-05,0.10240632392095585,0.28311805252500644,3.684602662617852,4.323044416869726,4.397374207110681,3.684206559830005,3.045368702790295,-0.37050450432840704,12.0,-12.0,-0.4319285668135109,0.00583807060487094
0.004081548479089912,3.4048737444102124,0.1470769979351453,2.5110352706991687e-05,0.172187350642137,0.3233202890352626,3.6936192141032653,4.333556152725694,4.408291573402582,3.6949309586122654,3.056305764498834,-0.33171666974004976,12.0,-12.0,-0.43161524906487614,0.005832234985195555
0.004091548479089911,3.40860996731404,0.16320482783911358,-2.8190735087527455e-05,0.13501409275158613,0.2832933249541005,3.685872348855572,4.323778994650452,4.398566541467424,3.6849394022796886,3.0460998099089203,-0.37026645224089555,12.0,-12.0,-0.43201645732429483,0.005838282276630691
0.004101548479089911,3.4072007640424795,0.17868856284879434,2.4673057848070124e-05,0.20336162069686445,0.32348872156512576,3.6975183117622157,4.33599328813507,4.4119553451766595,3.6973599881979347,3.0587266882608084,-0.33135389890336137,12.0,-12.0,-0.43190685417890506,0.005833011637121069
0.0041115484790899106,3.4107229014885108,0.19346709573594997,-2.840605144915944e-05,0.16506104428679053,0.2836235678897383,3.689670405583154,4.325993483165653,4.40212803465785,3.6871475180537203,3.0483015529417843,-0.36974727307372957,12.0,-12.0,-0.43228148125777466,0.005838954174758953
0.00412154847908991,3.4132899139387693,0.2074821023829429,2.4226383499092286e-05,0.2317084858820352,0.32409145742468276,3.708093947534587,4.342372873824456,4.42190575969406,3.703719267978555,3.0650656621326537,-0.3302277850456202,12.0,-12.0,-0.43267011459823834,0.005835017554293402
0.00413154847908991,3.416083518152162,0.22067827196138734,-2.862229697974986e-05,0.19205597498163748,0.2843074861968351,3.6991439699476407,4.3316095464408875,4.411000114679888,3.6927465586302177,3.0538835708195693,-0.36858466603468015,12.0,-12.0,-0.4329536524774369,0.005840683735671909
0.004141548479089909,3.4254912052316686,0.2330035252187134,2.3745814650102324e-05,0.2567493398688157,0.3254200361875665,3.73169103774299,4.355157937425351,4.444174677689622,3.7164642228739515,3.077770508322539,-0.32774843028223805,12.0,-12.0,-0.4341996531838248,0.0058390209889972134
0.004151548479089909,3.4246780221461837,0.24440922001118628,-2.8860776580012093e-05,0.2155484434311742,0.2853857440632172,3.7218787618655162,4.340611986069075,4.4324695873332844,3.7017213747413855,3.0628307634136895,-0.3664404549691502,12.0,-12.0,-0.43403123257169796,0.005843464268309223
0.0041615484790899085,3.4306787251731365,0.2548503432722264,2.3205906601692636e-05,0.278056249873919,0.32637400675356787,3.795451205981479,4.360594741229422,4.505524799359311,3.7218837296511986,3.0831727180729827,-0.32462023364981824,12.0,-12.0,-0.4348499149448344,0.005840735973270376
0.0041621433000621315,3.4257788087532335,0.2554400981890068,-2.6995682159034157e-06,0.2527405299731034,0.30581462563000805,3.775997721201219,4.348603501224964,4.485710444911004,3.7098095430225784,3.0710155848201914,-0.34515825913205095,12.0,-12.0,-0.4342026001441468,0.005841414530351568
0.004163332942006578,3.4281617651382916,0.2566088959332715,-3.112815504005247e-06,0.2534960804292663,0.3059784147202895,3.7735028196908242,4.351122213363112,4.483198401427595,3.7123191286247383,3.073516043886343,-0.3449168690370341,12.0,-12.0,-0.4345010397870652,0.005842315867258984
0.0041651532595665605,3.427598314222735,0.2583695440453284,-2.776366946229277e-06,0.2555931770990991,0.3061284660518282,3.7838329130880064,4.350505113610617,4.493290180474342,3.711705061218357,3.0729050088261003,-0.34451504389070214,12.0,-12.0,-0.4344307168967134,0.005841998716663362
0.004165393325205293,3.4263622066924295,0.25859922275365493,-2.9661775474806493e-06,0.25563304520617425,0.30596297084129553,3.785776619495585,4.349218338517667,4.495198796380881,3.7104216298412815,3.071624921164893,-0.3446500574604801,12.0,-12.0,-0.43427559224099355,0.0058416521392841364
0.0041658734564827575,3.424034170328275,0.25905681455389795,-2.9905912293034403e-06,0.2560662233245945,0.3058028248776152,3.791427712131356,4.346779851263585,4.5007597572909575,3.707990665468004,3.0692014796724276,-0.34472760988391726,12.0,-12.0,-0.4339837364204442,0.005840893739732005
0.004166833719037686,3.4079983469577164,0.2599649211413228,-3.037746104196334e-06,0.2569271750371264,0.3045924527437606,3.823531235318192,4.329953844492639,4.532547063140518,3.6912163656038075,3.052478886714975,-0.3456336911664078,12.0,-12.0,-0.4319733877252503,0.0058356116803562706
0.004166973399376704,3.3960442490923177,0.2600962272200678,-3.073304913750203e-06,0.2570229223063176,0.30402261190370566,3.845413259994501,4.317371525302787,4.554317757407178,3.6786717235779394,3.039971921853097,-0.3460949292816822,12.0,-12.0,-0.43047481497748663,0.005831594785652314
0.0041672527600547385,3.3030397518564754,0.26035823826120535,-3.361071683776276e-06,0.25699716657742905,0.2999146171141186,4.01301297147941,4.219439142362762,4.721193358611004,3.5810322137121666,2.94262528506158,-0.34947183853741653,12.0,-12.0,-0.4188157406837263,0.005800237940853744
0.004167267185221098,3.294620899237182,0.26037174578278305,-3.530325456196676e-06,0.25684142032658636,0.2991882363652233,4.027388154528257,4.2106185121183275,4.735473381730118,3.5722382780804187,2.9338580440425215,-0.3500941957377219,12.0,-12.0,-0.41776013397098666,0.005797488789818969
0.004167296035553816,3.2766392287608763,0.2603987544090575,-3.4498685111502463e-06,0.25694888589790726,0.298337754063644,4.059611661519299,4.191708366258554,4.767533201807827,3.5533857009688834,2.9150630356792213,-0.350763678415591,12.0,-12.0,-0.415506086460411,0.005791455139920011
