# artifact_type: raw_data
# circuit_file: inverting amplifier.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\cir\inverting amplifier.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:26:09.947959

Time (s),V(n001),V(n002),V(n003),V(n004),V(n005),V(n006),V(xu1.ndrv),I(E.XU1.E1),I(V1),I(V2),I(V3)
0.0007456000000000006,-9.996168745496359e-08,0.09996068774712583,12.0,-0.009996178732568781,0.0,-12.0,0.09996168745496359,-9.997078377621538e-07,-1.2e-11,-1.2e-11,9.996078770881327e-07
0.0007656000000000006,-9.951991165974286e-08,0.09951891637006505,12.0,-0.009952001108909331,0.0,-12.0,0.09951991165974286,-9.952896778131493e-07,-1.2e-11,-1.2e-11,9.951901588997672e-07
0.0007856000000000007,-9.750864740733443e-08,0.09750767223212936,12.0,-0.009750874482725084,0.0,-12.0,0.09750864740733443,-9.751752050729534e-07,-1.2e-11,-1.2e-11,9.750776974077677e-07
0.0008056000000000007,-9.395961353646977e-08,0.09395867385483296,12.0,-0.009395970741058187,0.0,-12.0,0.09395961353646977,-9.396816368079097e-07,-1.2e-11,-1.2e-11,9.39587678144465e-07
0.0008256000000000008,-8.892878043138252e-08,0.08892789106265472,12.0,-0.008892886927923947,0.0,-12.0,0.08892878043138253,-8.893687278022089e-07,-1.2e-11,-1.2e-11,8.892797999143516e-07
0.0008456000000000008,-8.2495487335414e-08,0.08249466230547133,12.0,-0.008249556975583203,0.0,-12.0,0.082495487335414,-8.250299426693086e-07,-1.2e-11,-1.2e-11,8.249474480095868e-07
0.0008656000000000009,-7.476119112375048e-08,0.07476044344380797,12.0,-0.007476126581691034,0.0,-12.0,0.07476119112375047,-7.476799425004677e-07,-1.2e-11,-1.2e-11,7.476051820499911e-07
0.0008856000000000009,-6.584786626789462e-08,0.06584720772931164,12.0,-0.006584793205584059,0.0,-12.0,0.06584786626789461,-6.585385829704915e-07,-1.2e-11,-1.2e-11,6.584727357717792e-07
0.000905600000000001,-5.589608122538542e-08,0.055895522213708804,12.0,-0.005589613707060228,0.0,-12.0,0.05589608122538542,-5.590116766152065e-07,-1.2e-11,-1.2e-11,5.589557810979002e-07
0.000925600000000001,-4.506278159125148e-08,0.0450623309224293,12.0,-0.0045062826613026805,0.0,-12.0,0.04506278159125148,-4.50668822184197e-07,-1.2e-11,-1.2e-11,4.506237598521089e-07
0.0009456000000000011,-3.3518814972222515e-08,0.03351847975357131,12.0,-0.003351884846053601,0.0,-12.0,0.03351881497222251,-3.352186511984545e-07,-1.2e-11,-1.2e-11,3.351851327238629e-07
0.0009656000000000011,-2.144623661791218e-08,0.02144602213603034,12.0,-0.0021446258044633135,0.0,-12.0,0.02144623661791218,-2.1448188184183814e-07,-1.2e-11,-1.2e-11,2.1446043582266957e-07
0.0009856000000000012,-9.0354383007766e-09,0.009035347938171517,12.0,-0.0009035447327992827,0.0,-12.0,0.0090354383007766,-9.036260508257787e-08,-1.2e-11,-1.2e-11,9.03535697360982e-08
0.0010056000000000012,3.5178542758713487e-09,-0.00351781909412741,12.0,0.00035178577905244443,0.0,-12.0,-0.0035178542758713487,3.518174393870102e-08,-1.2e-11,-1.2e-11,-3.517822611981686e-08
0.0010256000000000013,1.6015668189124788e-08,-0.016015508017868944,12.0,0.0016015684190219027,0.0,-12.0,-0.01601566818912479,1.601712558453594e-07,-1.2e-11,-1.2e-11,-1.6015524033537136e-07
0.0010456000000000013,2.8260905447739125e-08,-0.028260622812967765,12.0,0.0028260933682927687,0.0,-12.0,-0.028260905447739126,2.826347713612287e-07,-1.2e-11,-1.2e-11,-2.826065107387321e-07
0.0010656000000000014,4.006045134519601e-08,-0.040060050704228314,12.0,0.004006049136919311,0.0,-12.0,-0.040060451345196015,4.006409677001499e-07,-1.2e-11,-1.2e-11,-4.0060090764679667e-07
0.0010856000000000015,5.12282199939855e-08,-0.05122770766516886,12.0,0.005122827117558879,0.0,-12.0,-0.0512282199939855,5.12328816641705e-07,-1.2e-11,-1.2e-11,-5.122775889338886e-07
0.0011056000000000015,6.158808901121456e-08,-0.06158747307428046,12.0,0.0061588150543259584,0.0,-12.0,-0.061588089011214556,6.159369340952292e-07,-1.2e-11,-1.2e-11,-6.158753466236947e-07
0.0011256000000000016,7.097667707379569e-08,-0.07097596724243753,12.0,0.007097674798588535,0.0,-12.0,-0.0709766770737957,7.098313581643811e-07,-1.2e-11,-1.2e-11,-7.097603821911461e-07
0.0011456000000000016,7.924592053951137e-08,-0.07924512800819371,12.0,0.007924599971331964,0.0,-12.0,-0.07924592053951136,7.925313176559978e-07,-1.2e-11,-1.2e-11,-7.924520725411425e-07
0.0011656000000000017,8.626540849910069e-08,-0.08626454576651583,12.0,0.008626549468600931,0.0,-12.0,-0.0862654084991007,8.627325848581391e-07,-1.2e-11,-1.2e-11,-8.626463203192433e-07
0.0011856000000000017,9.192443943420195e-08,-0.09192352010615813,12.0,0.009192453127499191,0.0,-12.0,-0.09192443943420195,9.193280438163365e-07,-1.2e-11,-1.2e-11,-9.192361203059758e-07
0.0012056000000000018,9.613376704642748e-08,-0.09613280562127713,12.0,0.009613386309271464,0.0,-12.0,-0.09613376704642748,9.614251503531346e-07,-1.2e-11,-1.2e-11,-9.61329017550442e-07
0.0012256000000000018,9.882700772480202e-08,-0.09882601936479408,12.0,0.009882710646187906,0.0,-12.0,-0.09882700772480202,9.883600079335642e-07,-1.2e-11,-1.2e-11,-9.882611819180182e-07
