# artifact_type: raw_data
# circuit_file: multistage_amplifier.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\cir\multistage_amplifier.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:26:11.833282

Time (s),V(m1#body diode),V(m1#gate),V(m2#body diode),V(m2#gate),V(n001),V(n002),V(n003),V(n004),V(n005),V(n006),V(n007),V(n008),V(n009),I(V1),I(V2)
0.00028629999999999997,2.2769811903669948,3.964931070879156,1.0902481139778515,2.7654279241212865,12.0,2.596067785408575,0.1611285409860086,2.765427972018991,1.0902481150691077,0.009741024013373702,0.009623795297761362,3.9649310578263797,2.276981190037131,-1.1722871561234087e-07,-0.0024048342871949573
0.00030629999999999996,2.276642313082945,3.964579065483629,1.0914456996295125,2.7667184603825064,12.0,2.5906007323857914,0.15566148764643506,2.7667185313675517,1.0914457012868803,0.00938082553746007,0.009271778562829347,3.9645790410891855,2.276642312514058,-1.0904697463072325e-07,-0.0024053021476880664
0.00032629999999999996,2.276160854294183,3.9640790130230332,1.0931777158589058,2.7685846557925125,12.0,2.5826893364751022,0.14775009143233397,2.768584757119872,1.0931777181863551,0.008872685838987142,0.008771720957153839,3.96407898348141,2.2761608535692748,-1.0096488183330206e-07,-0.002405979336358182
0.00034629999999999996,2.2755479284342943,3.9634424320950954,1.0954144712541,2.770994295207485,12.0,2.572444457216715,0.13750521188869147,2.7709944174702907,1.0954144740971912,0.008224618584547783,0.008135129694493148,3.963442392216844,2.275547927495286,-8.94888900546335e-08,-0.0024068571782755745
0.00036629999999999996,2.2748097096072684,3.9626757513977693,1.0981230743383261,2.773911845680907,12.0,2.5600408969719126,0.1251016513812826,2.77391199512197,1.0981230777748223,0.00744684418188111,0.007368444816683084,3.9626757073373544,2.274809708536438,-7.839936519802623e-08,-0.002407919947006184
0.00038629999999999996,2.273961281368082,3.9617946169313125,1.1012584972920763,2.777288544443039,12.0,2.5456616322359693,0.11072238640951504,2.777288711384516,1.1012585011600797,0.006551628597937091,0.006487301496321152,3.9617945640155647,2.273961280119634,-6.432710161593897e-08,-0.002409152732769339
0.00040629999999999996,2.273012665136457,3.960809445655343,1.1047736425554953,2.7810735362477152,12.0,2.529546091380464,0.09460684534868014,2.7810737259572407,1.1047736469086633,0.005553089917250385,0.005502127447785998,3.960809389965877,2.2730126637910084,-5.0962469464385956e-08,-0.0024105342884972645
0.00042629999999999995,2.271982087368803,3.959739155100183,1.108605897132655,2.7851991438829287,12.0,2.511961826016538,0.07702257981312499,2.7851993489522235,1.1086059017903898,0.004466975691313514,0.00443183008493131,3.959739092602162,2.2719820858941855,-3.514560638220365e-08,-0.0024120423313363226
0.00044629999999999995,2.270882693192083,3.9585973954951665,1.1127038686247193,2.7896099541261887,12.0,2.4931614872803536,0.0582222409416957,2.789610177673301,1.1127038736501853,0.003310414590282695,0.0032900693038904194,3.9585973318205663,2.27088269165916,-2.0345286392275562e-08,-0.002413654670117634
0.00046629999999999995,2.269734851811247,3.9574053212705484,1.1170029780644926,2.794236231207239,12.0,2.4734198890517334,0.03848064261637241,2.794236461834912,1.1170029832602235,0.002101646273617301,0.0020979903036484338,3.9574052528200845,2.269734850199328,-3.6559699688671056e-09,-0.0024153484405251575
0.00048629999999999995,2.2685536591554087,3.956178604548468,1.1214326586187433,2.7990020003657117,12.0,2.453084313504288,0.01814506701230112,2.7990022420210443,1.1214326640120353,0.0008597337397543288,0.00087127449450497,3.956178537011019,2.268553657535506,1.1540754750641172e-08,-0.002417093125892829
0.0005062999999999999,2.2673606818236496,3.954939646204792,1.1259240141923152,2.80383302942183,12.0,2.432448816142287,-0.0024904303653539017,2.803833271443764,1.1259240196057263,-0.0003957373087646023,-0.0003676864239992028,3.9549395760929107,2.267360680177223,2.805088476539948e-08,-0.002418864208949561
